,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Intensity,1.0,0.0007750028714149443,0.00018308565394193572,2.2952734714116294e-18,0.20286997391244682,4.705908217288761e-32,0.8399791517821176,0.14325374648753697,6.367977838481648e-22,6.3759104711806185e-114,2.7887906224872305e-22
Composition,0.9999884483974462,0.0,0.0,0.0,4.649124806700085e-64,3.658030450186586e-16,6.431331202951396e-07,2.3221380659173554e-62,0.0,0.0,3.1635693278215017e-69
Temperature,7.088188565773766e-14,4.0052063777286976e-170,2.5445853885426673e-183,0.05322443596777278,1.6727435370142477e-41,0.9286005311905776,0.005536689388166978,4.898557283025262e-40,1.1663075354459035e-156,0.0,3.0022886880456527e-77
