variable,mean,std,min,max
Timestep1and2,114859.37762825904,77545.96795663562,0.0,372000.0
Slding speed,101.21951219512195,35.2150477142418,50.0,200.0
Depth polishing,19.083263246425567,3.676572037235722,10.0,25.0
Particle size,15.0,0.0,15.0,15.0
Composition,16.06139613120269,8.23340722063564,11.0,32.0
Temperature,173085.8216291639,6669704.85075751,9.39934752,288498849.0
