,v_stress_GPa,DislocationAnalysis.total_line_length,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,CommonNeighborAnalysis.counts.BCC,CommonNeighborAnalysis.counts.FCC,CommonNeighborAnalysis.counts.HCP
Timestep1and2,0.29213482493456505,0.3843698510942438,0.2778017350527968,0.36936681630839197,0.2593037629015557,0.31467842033839666,0.3656872189138591,0.3165561641521079,-0.4167873179525473,0.3701645931096522
v_strain,0.37864089916550975,0.7454779589462869,0.6257994893085717,0.5863501739311548,0.6063750082987499,0.6809258910822554,0.7046841170070774,0.42182492086871326,-0.476734224661208,0.6716224366590443
Strain rate input,0.24036973241866438,0.3987701012909213,0.2733895903747947,0.26605941601252187,0.32541529131441294,0.4186931444656759,0.38283979867072265,0.21673478953472092,-0.13022934396146596,0.3463163694752378
Temp,0.017216036288146247,-0.010633665136095252,-0.006513646045705895,-0.013750067455985315,-0.0066333535709888055,-0.00472975258474291,-0.009789707574169733,0.003386540534738878,0.005542901804563853,-0.016472953985105586
Composition,0.08710539271478052,0.4657788371172241,0.4383469290996954,0.4005334963968254,0.30132227313556936,0.04308762825916343,0.5015918083384189,0.6988933468232269,-0.5864479355657753,0.28295644052743163
Number of particle,-0.00825892526908005,0.15519059785462136,0.2090483744515399,0.19031000489247182,0.049555266371375035,-0.31627330208547516,0.20834672718928027,0.5718348437176812,-0.5972133740609533,0.055601752330076415
