param_n_estimators,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,rank,mean_fit_time,std_fit_time
300,8,63,0.8,0.8,-1406.154563848616,1130.718269047086,506781.298894132,1,2.585878531138102,0.06765079516029576
300,8,63,0.6,0.8,-1406.154563848616,1130.718269047086,506781.298894132,1,2.6098392804463706,0.10193536255947523
300,8,31,0.8,0.8,-1406.154563848616,1130.718269047086,506781.298894132,1,2.5670112768809,0.06653055456863018
300,8,31,0.6,0.8,-1406.154563848616,1130.718269047086,506781.298894132,1,2.567656993865967,0.06268850481083382
300,-1,63,0.6,0.8,-1409.159307326424,1152.1909098007352,506208.3299826043,5,3.157160917917887,0.030103062215238226
300,-1,31,0.6,0.8,-1409.159307326424,1152.1909098007352,506208.3299826043,5,3.142423232396444,0.03849196791831884
300,-1,31,0.8,0.8,-1409.159307326424,1152.1909098007352,506208.3299826043,5,3.1669508616129556,0.05444540484542705
300,-1,63,0.8,0.8,-1409.159307326424,1152.1909098007352,506208.3299826043,5,3.158397356669108,0.037192570769564955
300,8,63,0.6,0.6,-1607.7635019371564,1312.9549460617764,565177.3460450838,9,2.068091869354248,0.054186234797566485
300,8,63,0.8,0.6,-1607.7635019371564,1312.9549460617764,565177.3460450838,9,2.08022411664327,0.040395270651344614
300,8,31,0.6,0.6,-1607.7635019371564,1312.9549460617764,565177.3460450838,9,2.0660413106282554,0.04454554363888187
300,8,31,0.8,0.6,-1607.7635019371564,1312.9549460617764,565177.3460450838,9,2.057397445042928,0.047681302027934726
300,-1,31,0.8,0.6,-1656.7587309315966,1323.988285956597,571950.6891143782,13,2.4537737369537354,0.02721201341627323
300,-1,31,0.6,0.6,-1656.7587309315966,1323.988285956597,571950.6891143782,13,2.451233228047689,0.033027251005087244
300,-1,63,0.8,0.6,-1656.7587309315966,1323.988285956597,571950.6891143782,13,2.5021185874938965,0.07277331721400114
300,-1,63,0.6,0.6,-1656.7587309315966,1323.988285956597,571950.6891143782,13,2.487959941228231,0.05090247925401708
500,-1,63,0.8,0.8,-2276.150715189681,1961.292330952641,566771.4580518274,17,5.395784060160319,0.052395451327924975
500,-1,63,0.6,0.8,-2276.150715189681,1961.292330952641,566771.4580518274,17,5.406020085016887,0.06802002189886122
500,-1,31,0.8,0.8,-2276.150715189681,1961.292330952641,566771.4580518274,17,5.3895784219106035,0.034321760139293056
500,-1,31,0.6,0.8,-2276.150715189681,1961.292330952641,566771.4580518274,17,5.367235978444417,0.053142327318910776
500,8,63,0.6,0.8,-2297.2567570202013,1977.0639461431151,570751.2306874157,21,4.212019046147664,0.10895707072958766
500,8,63,0.8,0.8,-2297.2567570202013,1977.0639461431151,570751.2306874157,21,4.207815965016683,0.10205531056299463
500,8,31,0.6,0.8,-2297.2567570202013,1977.0639461431151,570751.2306874157,21,4.1572160720825195,0.11373960813466202
