,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,2.23490449243015e-299,1.0104939068229632e-297,1.4831941218164283e-11,0.547529685462956,0.0,0.0,1.2473606174355834e-66,0.0,0.0,0.0,0.0
Slding speed,5.933395043464705e-129,0.00011726113814355377,0.4014159176999764,0.30172834327966697,6.393015704869201e-11,1.3767530392540425e-15,5.728802314709274e-23,0.00014640804026698354,4.3253833131817013e-16,3.3977052517244775e-05,0.0032045898088286055,4.743375051656569e-12
Depth polishing,0.011502415879210585,2.5765627132192856e-60,2.807122461933063e-110,9.122100861401054e-16,1.4243377244097346e-15,1.0144432209193184e-47,0.3230924354240413,1.3210240161467176e-109,2.755420369233408e-47,1.3288928682396608e-157,1.243313645500556e-108,1.6578891426746206e-130
Particle size,,,,,,,,,,,,
Composition,0.0,0.5022175160335112,0.011410100565089709,6.901276817731088e-08,3.23648789069746e-06,0.0008268630874689986,0.0017147327676872751,3.693294675433068e-73,0.0005419697708237213,2.3428889968626758e-88,3.847175125978184e-155,4.3817118209580796e-14
Temperature,1.539077656539697e-08,8.55729569950441e-121,1.7148697575219138e-161,8.258007085135095e-08,6.543696263419585e-06,9.241895236510036e-175,1.0328838846690011e-86,9.012497038194052e-46,6.493355735485988e-181,3.957684275007436e-160,3.6612708629255494e-221,5.998005608345967e-200
