,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,2.379105346343023e-299,6.015842842233205e-298,1.657446097058888e-11,0.5615999210377122,0.0,0.0,1.2539903059829412e-66,0.0,0.0,0.0,0.0
Slding speed,2.4496849154100866e-128,0.00012139331586398493,0.40462661991434523,0.30084004963788535,6.656209570399251e-11,1.3963242026056953e-15,5.832729909650898e-23,0.00014317860927042422,4.3851199232306963e-16,3.429023333085872e-05,0.0032469688995636695,4.765026567215548e-12
Depth polishing,0.01351133333440372,2.11391178362964e-59,1.2148937303567304e-109,1.2374507210940614e-15,1.387994062067284e-15,3.81457585458363e-47,0.3230324515492994,7.88238278826938e-109,1.0198051345464375e-46,1.1060193938523511e-156,9.90191613656984e-108,1.0316242633821618e-129
Particle size,,,,,,,,,,,,
Composition,0.0,0.5180161231129126,0.011341333900024496,7.371191507290271e-08,3.281064669056054e-06,0.0008308897989295633,0.0017173332399650371,3.6135233694057426e-73,0.0005424681839141513,2.0520848253636368e-88,3.2956737100772525e-155,4.3130961884881394e-14
Temperature,1.8099085461416287e-08,1.1694975148664074e-120,3.954460704785883e-161,1.0025063214001552e-07,6.479228916030776e-06,1.6773646410973568e-174,7.405423134982666e-87,1.3855823099193149e-45,1.1986128509832998e-180,6.748387865502084e-160,5.847483637168317e-221,1.1777068864917226e-199
