,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,-0.5964051454088821,0.5644753678285406,-0.5633802316552019,-0.11242307878023021,-0.009722271676108871,0.7323402880701858,0.6173800417307769,0.2828981047430416,0.7368055292378838,0.6911631377248789,-0.7409593346067941,0.7660682566266385
Slding speed,0.3877752721947492,-0.06430646795231795,0.013958094922535646,0.01732824845683619,0.10901786894735506,-0.1331614695909353,-0.1641317808528583,0.06362713632480314,-0.1355016586352339,-0.0693083047436859,0.049269317493234877,-0.11539210499509994
Depth polishing,-0.041353445620669636,0.26726815153567884,-0.36005163907993804,-0.1334074596755549,0.13317366610311976,0.23806404857542135,0.016551439319767103,0.3587831472556051,0.23697329625509173,0.42529348884946466,-0.3570571895446659,0.38971234006572303
Particle size,,,,,,,,,,,,
Composition,0.6940868251771759,0.010826639719603343,-0.04239059203656034,0.08996073978105802,-0.07780688369482222,0.05593777215603988,-0.05247681425842649,0.2962223887685362,0.05788543055519804,0.3247952077536466,-0.423456238335579,0.1259741258064777
Temperature,-0.09407776527509963,0.37671447442851924,-0.4307671910958959,-0.0890348890876295,0.07543433444315618,0.4466454127025314,0.32201690550419765,0.2340519484728212,0.45366882014746507,0.429260607581715,-0.4960598868386374,0.4744034410587992
