,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.3884832965200864,0.928686207776003,0.0,0.001491930346466249,0.0044424063198311575,0.0,2.7200182744803787e-184,1.3077628642325178e-27,0.0,0.0,0.0,0.0
Slding speed,0.3440290253682154,0.9723762988246181,1.8983583353035671e-06,0.7798316225131414,0.0033858504142265018,3.071041513453861e-16,1.115640210809553e-11,3.2664353134280595e-07,7.227037628883136e-16,1.188177840045812e-05,2.8322672802879484e-05,4.7635166885905044e-11
Depth polishing,0.18824653572242134,0.2667256072570255,7.744231634695856e-35,1.1601122684838438e-11,2.175232409467876e-09,2.7178205270420943e-65,0.00035481794293005603,6.361967018765804e-115,6.868101834629845e-68,4.297892695556527e-155,2.2845484349212924e-121,1.529301590690075e-153
Particle size,,,,,,,,,,,,
Composition,0.3832767389294669,0.5387448728460714,0.15665362220995527,5.412871764874167e-10,0.00424726076192995,0.007745831681438186,1.217470977532532e-10,4.0579122669241385e-41,0.0027216514402568152,2.4945693662139336e-85,4.8905247493271615e-142,5.050915414192641e-06
Temperature,0.9706388221718126,0.979330849505242,0.3157150003421884,0.5495521298462336,0.9830184313639071,0.1814224716183227,0.23408764965768875,0.006253613994922215,0.19288962617622668,0.4287181755150058,0.26492130848079487,0.4170385193855042
