variable,mean,std,min,max
Intensity,4395000000.0,2305486422.4007926,0.0,8880000000.0
Composition,17.375,8.774439390893818,11.0,32.0
Temperature,300.64961196119253,1.2544522101754025,298.82886,363.26517
