,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Intensity,1.0000000000000004,0.5190704999843372,0.3049660609216171,9.020807071547516e-08,0.1572249428983071,3.9172298040821575e-23,0.9617443252192919,0.14379768775390944,3.788358361083309e-15,1.5194579236982244e-115,2.2871084107048083e-31
Composition,1.0000000000000004,7.548018036974234e-246,8.165257401454869e-175,0.0,2.4396824453348585e-37,4.170111000766842e-21,1.84803936743145e-05,9.735419494262384e-40,0.0,0.0,1.1569205087184937e-112
Temperature,0.004794288832499436,3.181731408326444e-51,3.858904318521375e-68,2.290972831388002e-11,0.06516288724873087,1.3022723858205671e-95,1.708714647862741e-05,0.1090782127213736,9.852514639531217e-11,4.9140485450488916e-101,1.801293577335692e-07
