variable,mean,std,min,max
Timestep1and2,207913.05439330544,135509.5502879518,0.0,600000.0
Number of particle,42.19916317991632,18.14554018743051,0.0,55.0
Composition,15.45020920502092,9.925424445580331,0.0,32.0
Temperature,305072.4399607058,9614132.563962614,0.6421326,308129517.0
Strain rate input,846761506.2761506,420263208.28273433,100000000.0,5000000000.0
