,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.38848329652008695,0.9286862077760011,0.0,0.0014919303464662657,0.004442406319831064,0.0,2.7200182744806133e-184,1.3077628642326112e-27,0.0,0.0,0.0,0.0
Slding speed,0.34402902536821617,0.9723762988246187,1.8983583353035557e-06,0.7798316225131404,0.0033858504142264797,3.071041513453736e-16,1.1156402108095529e-11,3.266435313428051e-07,7.227037628883472e-16,1.1881778400458265e-05,2.8322672802879477e-05,4.7635166885904223e-11
Depth polishing,0.18824653572242162,0.26672560725702454,7.744231634695934e-35,1.1601122684838415e-11,2.175232409467822e-09,2.7178205270417688e-65,0.00035481794293005587,6.361967018763812e-115,6.8681018346281405e-68,4.2978926955553384e-155,2.2845484349216205e-121,1.5293015906898517e-153
Particle size,,,,,,,,,,,,
Composition,0.383276738929467,0.5387448728460726,0.15665362220995577,5.412871764874326e-10,0.004247260761929938,0.007745831681438221,1.2174709775325253e-10,4.0579122669247763e-41,0.002721651440256801,2.494569366213431e-85,4.890524749325367e-142,5.050915414192782e-06
Temperature,0.9706388221718109,0.979330849505243,0.315715000342188,0.5495521298462341,0.9830184313639083,0.18142247161832323,0.23408764965768566,0.006253613994922271,0.19288962617622749,0.4287181755150049,0.2649213084807917,0.4170385193855047
