Timestep1and2,Slding speed,Depth polishing,Particle size,Composition,Temperature,PotEng,KinEng,Total energy,Press,Von Mises stress,v_hydro,Force_X,Force_Y,Force_Z,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
0,100,10,15,11,300.0304,-1283933.4,11616.326,-1272317.1,521.43744,0.16496077,6.6289395e-05,0.0,0.0,0.0,CASE-1,61.57318456,0.0,0.0,0.0,0.0,61.57318456,85.0,260430.0,39.0
600,100,10,15,11,294.77537,-1284204.6,11412.866,-1272791.7,654.6399,0.11781538,6.7272705e-05,0.0,0.0,0.0,CASE-1,30.01787786,0.0,0.0,0.0,0.0,30.01787786,61.0,260554.0,31.0
1200,100,10,15,11,290.62121,-1284371.6,11252.028,-1273119.6,301.02912,0.062235665,5.9659578e-05,0.0,0.0,0.0,CASE-1,73.11507209,0.0,0.0,0.0,0.0,73.11507209,65.0,260655.0,47.0
1800,100,10,15,11,287.58768,-1284456.6,11134.579,-1273322.1,-434.89272,0.15985772,2.8903572e-05,0.0,0.0,0.0,CASE-1,66.32204583,0.0,0.0,0.0,0.0,66.32204583,61.0,260522.0,40.0
2400,100,10,15,11,285.09798,-1284487.1,11038.185,-1273448.9,-1219.0486,0.31254924,-6.4218151e-08,0.0,0.0,0.0,CASE-1,82.93268894,0.0,0.0,0.0,0.0,82.93268894,65.0,260551.0,47.0
3000,100,10,15,11,282.70941,-1284530.9,10945.706,-1273585.2,-1648.2858,0.40688481,-1.6323366e-05,0.0,0.0,0.0,CASE-1,18.7530194,0.0,0.0,0.0,0.0,18.7530194,72.0,260525.0,45.0
3600,100,10,15,11,281.16923,-1284574.9,10886.075,-1273688.8,-1742.6911,0.46353756,-2.0283059e-05,0.0,0.0,0.0,CASE-1,55.49513328,0.0,0.0,0.0,0.0,55.49513328,63.0,260639.0,43.0
4200,100,10,15,11,279.73082,-1284657.6,10830.383,-1273827.2,-1562.5913,0.44702495,-1.1412592e-05,0.0,0.0,0.0,CASE-1,84.95360517,0.0,0.0,0.0,11.11419102,73.83941415,50.0,260545.0,49.0
4800,100,10,15,11,278.84027,-1284777.4,10795.904,-1273981.5,-1051.2023,0.29744256,7.2653624e-06,0.0,0.0,0.0,CASE-1,68.12458019,0.0,0.0,0.0,0.0,68.12458019,55.0,260564.0,52.0
5400,100,10,15,11,277.75199,-1284892,10753.769,-1274138.2,-446.27624,0.13767604,3.2689257e-05,0.0,0.0,0.0,CASE-1,59.64036637,0.0,0.0,0.0,0.0,59.64036637,62.0,260628.0,46.0
6000,100,10,15,11,277.17472,-1284995.1,10731.418,-1274263.7,3.9377548,0.057481082,4.4954576e-05,0.0,0.0,0.0,CASE-1,71.39100846,0.0,0.0,0.0,11.55947499,59.83153347,61.0,260580.0,52.0
6600,100,10,15,11,275.91567,-1285066.8,10682.672,-1274384.1,145.29161,0.15947271,5.4193362e-05,0.0,0.0,0.0,CASE-1,76.17145282,0.0,0.0,0.0,10.24466101,65.92679181,63.0,260618.0,61.0
7200,100,10,15,11,275.75673,-1285138.5,10676.518,-1274462,424.48715,0.21620388,6.0250029e-05,0.0,0.0,0.0,CASE-1,67.11763488,0.0,0.0,0.0,13.68858852,53.42904636,57.0,260601.0,59.0
7800,100,10,15,11,275.11714,-1285176.3,10651.755,-1274524.6,184.20431,0.21784937,5.5563008e-05,0.0,0.0,0.0,CASE-1,89.61180829,0.0,0.0,0.0,10.41914202,79.19266626,70.0,260640.0,53.0
8400,100,10,15,11,274.8441,-1285161.8,10641.183,-1274520.6,-300.58301,0.11117704,3.362995e-05,0.0,0.0,0.0,CASE-1,75.31887644,0.0,0.0,0.0,9.387786272,65.93109017,63.0,260590.0,60.0
9000,100,10,15,11,273.82411,-1285143.9,10601.692,-1274542.2,-886.0004,0.15134381,1.2991633e-05,0.0,0.0,0.0,CASE-1,108.3424724,0.0,0.0,0.0,16.04293919,92.29953325,62.0,260627.0,48.0
9600,100,10,15,11,273.70817,-1285091.4,10597.203,-1274494.2,-1163.8081,0.23172742,6.3012773e-06,0.0,0.0,0.0,CASE-1,93.29918001,0.0,0.0,0.0,11.73332001,81.56585999,53.0,260657.0,56.0
10200,100,10,15,11,273.4709,-1285101.9,10588.017,-1274513.9,-1348.7907,0.33065323,-5.3123571e-06,0.0,0.0,0.0,CASE-1,89.78377257,0.0,0.0,0.0,16.99761271,72.78615986,61.0,260599.0,56.0
10800,100,10,15,11,272.97263,-1285081.2,10568.726,-1274512.5,-1570.2082,0.37056779,-1.1897674e-05,0.0,0.0,0.0,CASE-1,70.92225135,0.0,0.0,0.0,11.30936566,59.61288569,60.0,260579.0,53.0
11400,100,10,15,11,272.78991,-1285124.9,10561.651,-1274563.2,-1380.7755,0.38942308,-7.5296348e-06,0.0,0.0,0.0,CASE-1,55.90601384,0.0,0.0,0.0,13.06881018,42.83720366,78.0,260648.0,48.0
12000,100,10,15,11,272.94727,-1285182,10567.744,-1274614.2,-816.7773,0.29345369,1.6714379e-05,0.0,0.0,0.0,CASE-1,63.53453139,0.0,0.0,0.0,18.77928387,44.75524752,58.0,260552.0,49.0
12600,100,10,15,11,272.77239,-1285257.3,10560.973,-1274696.4,-251.51731,0.20632165,3.5080734e-05,0.0,0.0,0.0,CASE-1,70.89800463,0.0,0.0,0.0,17.93014826,52.96785637,57.0,260527.0,59.0
13200,100,10,15,11,272.49278,-1285291,10550.147,-1274740.9,122.47806,0.12747084,4.8627624e-05,0.0,0.0,0.0,CASE-1,44.47392138,0.0,0.0,0.0,21.55159076,22.92233062,67.0,260652.0,42.0
13800,100,10,15,11,272.20153,-1285301.7,10538.871,-1274762.8,268.07893,0.093965374,5.4523829e-05,0.0,0.0,0.0,CASE-1,54.38734295,0.0,0.0,0.0,13.22398728,41.16335567,60.0,260701.0,52.0
14400,100,10,15,11,271.68763,-1285286.5,10518.974,-1274767.6,191.3105,0.10564005,5.1807194e-05,0.0,0.0,0.0,CASE-1,81.47554865,0.0,0.0,0.0,26.98174239,54.49380627,70.0,260638.0,50.0
15000,100,10,15,11,272.11452,-1285327.6,10535.502,-1274792.1,-9.2467133,0.039121546,4.6097832e-05,0.0,0.0,0.0,CASE-1,62.99061132,0.0,0.0,0.0,8.933562253,54.05704907,57.0,260611.0,46.0
15600,100,10,15,11,272.163,-1285342,10537.379,-1274804.6,-383.08006,0.085980702,3.063828e-05,0.0,0.0,0.0,CASE-1,63.19741793,0.0,0.0,0.0,13.80084326,49.39657466,65.0,260617.0,61.0
16200,100,10,15,11,271.89815,-1285276.2,10527.125,-1274749.1,-809.48503,0.18174257,1.7848795e-05,0.0,0.0,0.0,CASE-1,51.2086569,0.0,0.0,0.0,12.09728155,39.11137536,76.0,260617.0,53.0
16800,100,10,15,11,272.08857,-1285226.3,10534.497,-1274691.8,-1114.8552,0.23523475,4.1244023e-06,0.0,0.0,0.0,CASE-1,86.70481385,0.0,0.0,0.0,13.19016832,73.51464553,58.0,260574.0,43.0
17400,100,10,15,11,271.8451,-1285160.4,10525.071,-1274635.3,-1465.1612,0.23825647,-7.111437e-06,0.0,0.0,0.0,CASE-1,56.84664973,0.0,0.0,0.0,10.19270737,46.65394236,76.0,260559.0,55.0
18000,100,10,15,11,272.11887,-1285156.6,10535.67,-1274620.9,-1565.922,0.27220528,-1.1796615e-05,0.0,0.0,0.0,CASE-1,75.90302089,0.0,0.0,0.0,12.11731512,63.78570577,57.0,260525.0,65.0
18600,100,10,15,11,271.77837,-1285195.4,10522.487,-1274672.9,-1232.9205,0.20144101,-6.5679004e-07,0.0,0.0,0.0,CASE-1,30.87827964,0.0,0.0,0.0,13.44954645,17.42873319,68.0,260590.0,55.0
19200,100,10,15,11,271.92763,-1285263.4,10528.266,-1274735.1,-653.44795,0.12972893,2.3642672e-05,0.0,0.0,0.0,CASE-1,84.79859121,0.0,0.0,0.0,20.96841716,63.83017405,59.0,260580.0,61.0
19800,100,10,15,11,271.82035,-1285352.6,10524.112,-1274828.5,-118.47173,0.068138163,4.0899931e-05,0.0,0.0,0.0,CASE-1,95.43178577,0.0,0.0,0.0,17.71940264,77.71238313,72.0,260582.0,63.0
20400,100,10,15,11,271.54592,-1285355.8,10513.488,-1274842.3,20.478098,0.054735917,4.7953252e-05,0.0,0.0,0.0,CASE-1,58.65490364,0.0,0.0,0.0,18.61495715,40.03994649,57.0,260516.0,48.0
21000,100,10,15,11,271.88524,-1285385.6,10526.625,-1274859,249.2303,0.099006854,5.2875648e-05,0.0,0.0,0.0,CASE-1,81.0911361,0.0,0.0,0.0,26.29491323,54.79622287,58.0,260600.0,58.0
21600,100,10,15,11,271.74896,-1285399.3,10521.348,-1274877.9,299.75611,0.095747084,5.5144835e-05,0.0,0.0,0.0,CASE-1,58.79054615,0.0,0.0,0.0,10.7462157,48.04433045,66.0,260625.0,54.0
22200,100,10,15,11,271.41803,-1285386.6,10508.536,-1274878.1,-87.888292,0.15376369,4.049743e-05,0.0,0.0,0.0,CASE-1,94.85775006,0.0,0.0,0.0,18.51350778,76.34424228,63.0,260610.0,65.0
22800,100,10,15,11,271.66126,-1285308.2,10517.953,-1274790.2,-616.81356,0.22839462,2.19916e-05,0.0,0.0,0.0,CASE-1,73.34540175,0.0,0.0,0.0,10.1180687,63.22733305,57.0,260557.0,52.0
23400,100,10,15,11,271.60052,-1285293.9,10515.601,-1274778.3,-991.82834,0.3023727,8.9603844e-06,0.0,0.0,0.0,CASE-1,126.3756405,0.0,0.0,0.0,20.83023536,105.5454052,63.0,260467.0,77.0
24000,100,10,15,11,271.88327,-1285253.8,10526.549,-1274727.2,-1181.02,0.35885285,1.8134203e-06,0.0,0.0,0.0,CASE-1,70.4860782,0.0,0.0,0.0,29.87242213,40.61365608,77.0,260544.0,58.0
24600,100,10,15,11,271.72374,-1285233.7,10520.372,-1274713.3,-1295.8155,0.40100736,-2.7280412e-06,0.0,0.0,0.0,CASE-1,86.16155083,0.0,0.0,0.0,26.02163613,60.1399147,62.0,260473.0,53.0
25200,100,10,15,11,272.01299,-1285244.1,10531.571,-1274712.5,-1245.876,0.34734561,-1.4296511e-06,0.0,0.0,0.0,CASE-1,69.53566446,0.0,0.0,0.0,8.991168325,60.54449614,59.0,260492.0,66.0
25800,100,10,15,11,271.78973,-1285321.5,10522.927,-1274798.6,-957.75179,0.19970602,1.1966585e-05,0.0,0.0,0.0,CASE-1,91.77940068,0.0,0.0,0.0,18.81414811,72.96525257,76.0,260485.0,71.0
26400,100,10,15,11,271.82716,-1285375,10524.376,-1274850.6,-570.1618,0.10078372,2.411624e-05,0.0,0.0,0.0,CASE-1,72.70933121,0.0,0.0,0.0,27.76398621,44.945345,70.0,260461.0,68.0
27000,100,10,15,11,271.29713,-1285367.7,10503.855,-1274863.8,-290.13805,0.079338135,3.7162783e-05,0.0,0.0,0.0,CASE-1,97.69812466,0.0,0.0,0.0,20.7703381,76.92778656,77.0,260446.0,64.0
27600,100,10,15,11,271.88111,-1285377.9,10526.465,-1274851.4,72.787758,0.13513997,4.8602459e-05,0.0,0.0,0.0,CASE-1,68.46788456,0.0,0.0,0.0,20.52164817,47.94623639,85.0,260436.0,65.0
28200,100,10,15,11,271.39405,-1285410.9,10507.607,-1274903.3,246.65572,0.16284583,5.4876831e-05,-0.14652337440000002,0.00223963376,-0.544246272,CASE-1,87.997829,0.0,0.0,0.0,24.51183091,63.48599809,68.0,260419.0,61.0
28800,100,10,15,11,271.39998,-1285400.5,10507.837,-1274892.6,39.362377,0.13502363,4.80299e-05,0.14312360799999999,-0.00464384416,-4.0627926400000005,CASE-1,42.23010424,0.0,0.0,0.0,9.358261842,32.8718424,73.0,260573.0,55.0
29400,100,10,15,11,271.65678,-1285399.3,10517.78,-1274881.5,-274.99904,0.012946242,3.4955268e-05,1.6694968000000001,-0.07814518240000001,-9.31052192,CASE-1,76.31799109,0.0,0.0,0.0,21.39654507,54.92144603,69.0,260489.0,68.0
30000,100,10,15,11,271.28715,-1285390.3,10503.469,-1274886.9,-683.739,0.15692277,2.1706016e-05,1.5718630400000002,-1.588677216,-6.71935984,CASE-1,57.87496768,0.0,0.0,0.0,10.25105466,47.62391302,61.0,260525.0,63.0
30600,100,10,15,11,271.496,-1285391.6,10511.555,-1274880,-971.28368,0.26536618,1.0331562e-05,0.1199355936,1.0130875680000002,6.70985152,CASE-1,60.23512723,0.0,0.0,0.0,11.19079649,49.04433073,49.0,260504.0,56.0
31200,100,10,15,11,271.59764,-1285328.1,10515.49,-1274812.6,-1133.5438,0.36986978,3.6543468e-06,-1.147756128,1.345041968,26.371968,CASE-1,71.13047786,0.0,0.0,0.0,8.836011378,62.29446648,70.0,260510.0,53.0
31800,100,10,15,11,271.63955,-1285332,10517.112,-1274814.9,-1254.5687,0.40084985,-2.4969143e-06,-0.05385652800000001,6.30077248,53.4174816,CASE-1,61.53157146,0.0,0.0,0.0,29.57073024,31.96084122,80.0,260409.0,57.0
32400,100,10,15,11,271.67439,-1285312.9,10518.461,-1274794.5,-1118.2725,0.33345956,2.1476465e-06,-2.25098544,3.0864408,58.5528064,CASE-1,52.51247735,0.0,0.0,0.0,10.79953873,41.71293862,125.0,260364.0,55.0
33000,100,10,15,11,271.80013,-1285383.6,10523.33,-1274860.2,-646.35717,0.22638523,1.7579066e-05,-5.311570240000001,-1.558529776,75.6076592,CASE-1,87.96607571,0.0,0.0,0.0,20.88160482,67.08447089,148.0,260311.0,67.0
33600,100,10,15,11,271.91842,-1285427.9,10527.909,-1274900,-58.951012,0.11265135,3.8610036e-05,9.31965472,0.39240673600000003,90.6460624,CASE-1,159.5578171,0.0,5.014674079,0.0,20.73223073,133.8109123,142.0,260235.0,128.0
34200,100,10,15,11,271.74857,-1285415,10521.333,-1274893.7,563.05579,0.16839931,6.1799244e-05,1.1118171840000002,0.7579619040000001,105.25188320000001,CASE-1,169.2075553,0.0,0.0,0.0,21.63441953,131.2145941,177.0,260092.0,138.0
34800,100,10,15,11,272.01478,-1285397.8,10531.64,-1274866.2,998.81877,0.30418746,7.8746722e-05,-2.92389008,5.37747504,146.58839680000003,CASE-1,136.0061619,0.0,0.0,0.0,7.737222418,103.849552,173.0,259922.0,191.0
35400,100,10,15,11,271.93686,-1285378.7,10528.624,-1274850.1,1126.7827,0.42491604,8.4333208e-05,-2.3858833600000002,3.38224944,149.5224352,CASE-1,230.7013521,0.0,0.0,0.0,49.54053402,162.6545231,241.0,259871.0,176.0
36000,100,10,15,11,272.41967,-1285345.3,10547.317,-1274798,918.34804,0.44141134,7.5337337e-05,-5.842937280000001,-0.63839312,154.62387520000001,CASE-1,263.3819495,0.0,0.0,0.0,35.88328311,219.4172881,201.0,259604.0,183.0
36600,100,10,15,11,271.92713,-1285261,10528.247,-1274732.8,582.50811,0.40103618,6.2425582e-05,-5.5596372800000005,-11.127690560000001,170.62672,CASE-1,231.6213308,15.46915133,0.0,0.0,33.87875337,174.5031475,182.0,259312.0,140.0
37200,100,10,15,11,271.80552,-1285174.2,10523.538,-1274650.7,192.42001,0.35379014,4.8392411e-05,-16.3303968,5.00866336,172.684704,CASE-1,233.0829035,11.48968124,0.0,14.52500592,15.4660814,183.2420434,223.0,258996.0,177.0
37800,100,10,15,11,272.72376,-1285076.5,10559.09,-1274517.4,-321.80146,0.3395943,2.9865155e-05,-12.952669440000001,0.5174131359999999,190.40672,CASE-1,352.6659067,28.82466846,8.713607408,0.0,18.18993778,281.2317458,240.0,258719.0,248.0
38400,100,10,15,11,272.49715,-1284999,10550.316,-1274448.7,-689.10106,0.33252767,1.573577e-05,-14.451738560000003,9.54431184,209.16924800000004,CASE-1,391.4307795,12.18303689,5.799472153,0.0,19.68304676,336.1686708,231.0,258330.0,327.0
39000,100,10,15,11,272.62162,-1284979.9,10555.136,-1274424.8,-646.28517,0.34310806,1.5952285e-05,-17.4996608,-10.40124032,216.80451200000005,CASE-1,437.4721701,0.0,13.03851545,7.273872275,12.74418582,364.9404525,261.0,258007.0,388.0
39600,100,10,15,11,273.19262,-1284996.5,10577.243,-1274419.2,-183.90063,0.33253143,3.0904834e-05,-5.32256304,-14.341798879999999,235.246352,CASE-1,520.1418224,7.142669992,11.01798309,0.0,38.53100513,430.5521937,251.0,257812.0,413.0
40200,100,10,15,11,273.49749,-1285006.4,10589.047,-1274417.3,321.34691,0.3549069,5.0880794e-05,-10.125703360000001,-12.217253920000001,228.842,CASE-1,532.5419227,3.502110524,17.34468635,7.172029043,19.1036061,436.932141,256.0,257427.0,503.0
40800,100,10,15,11,273.91358,-1285036.4,10605.156,-1274431.2,824.316,0.41071607,6.9446675e-05,7.40192768,-23.2498368,238.075632,CASE-1,677.8699005,10.02756049,18.97233806,0.0,83.95550213,506.1847545,352.0,257074.0,635.0
41400,100,10,15,11,274.14219,-1285041.6,10614.007,-1274427.6,1367.3425,0.50822233,8.7692512e-05,8.815989759999999,0.18201876800000003,221.80833600000003,CASE-1,747.3538118,11.92201916,18.00895043,21.49226286,84.92446229,578.0491626,295.0,256909.0,818.0
42000,100,10,15,11,273.86393,-1285031.8,10603.234,-1274428.5,1773.5714,0.56095464,0.00010522154,21.8589072,0.7735795360000001,255.80977600000003,CASE-1,678.4573303,21.09782725,0.0,9.950800829,54.3353609,510.5692592,306.0,256751.0,820.0
42600,100,10,15,11,274.364,-1285103.5,10628.518,-1274474.9,1581.1224,0.50863982,9.3654466e-05,-40.5870592,-20.7437568,220.11536,CASE-1,582.7827159,16.72007629,0.0,12.15896704,57.6926239,423.7195065,297.0,256848.0,862.0
43200,100,10,15,11,274.11016,-1285127.8,10621.047,-1274506.7,1035.7851,0.41290507,7.7829341e-05,-59.163100799999995,1.97025264,201.57248,CASE-1,654.4949415,4.414848354,35.71340181,0.0,45.23260926,496.4706917,269.0,256860.0,792.0
43800,100,10,15,11,274.08969,-1285146.5,10615.861,-1274530.6,564.11915,0.3127638,6.119176e-05,-80.32148000000001,-17.276905600000003,192.31947200000002,CASE-1,617.1031202,19.78147357,28.65946921,0.0,85.60056627,374.3922557,255.0,256819.0,855.0
44400,100,10,15,11,274.33503,-1285134.6,10611.031,-1274523.6,36.678218,0.20448044,4.0026984e-05,-75.3295008,-23.0796912,187.447328,CASE-1,640.8359853,6.053803879,25.07678882,0.0,48.94649957,476.6280035,282.0,256732.0,882.0
45000,100,10,15,11,274.30264,-1285128.8,10613.886,-1274514.9,-439.54251,0.13007358,2.344221e-05,-77.57614240000001,-16.442435200000002,181.161008,CASE-1,746.5527921,7.689802952,38.88288339,0.0,73.55540956,559.1539466,287.0,256425.0,979.0
45600,100,10,15,11,274.29156,-1285179.5,10606.74,-1274572.8,-561.59653,0.157866,1.7400157e-05,-64.9556432,-25.925881600000004,174.318048,CASE-1,831.5172285,9.388680384,72.13653836,5.314071297,110.5632001,605.7643844,278.0,256045.0,1199.0
46200,100,10,15,11,273.69207,-1285250.5,10610.837,-1274639.6,-422.38339,0.27211719,2.4936008e-05,-95.75037600000002,-37.5066336,164.20009600000003,CASE-1,730.8706736,27.88883483,46.36853499,0.0,64.99648895,565.3813229,233.0,256150.0,1254.0
46800,100,10,15,11,273.96073,-1285337.2,10625.713,-1274711.5,82.81741,0.38164912,4.2412871e-05,-101.3431328,-6.91852304,166.12241600000002,CASE-1,691.9592476,10.38898791,53.97468308,0.0,65.23157323,514.3438273,190.0,256419.0,1268.0
47400,100,10,15,11,274.42146,-1285383.9,10614.36,-1274769.5,591.50976,0.57269135,6.1271665e-05,-89.744432,-35.4772912,162.924544,CASE-1,689.405383,0.0,58.43567474,0.0,98.10229231,473.0241261,195.0,256505.0,1168.0
48000,100,10,15,11,273.72789,-1285487.5,10607.846,-1274879.7,1141.0503,0.7612242,8.0716468e-05,-106.68144640000001,-17.3631536,158.5220256,CASE-1,662.5779513,16.9466569,7.016526181,5.363396332,52.0043736,575.7783134,208.0,256861.0,916.0
48600,100,10,15,11,273.67467,-1285563.7,10600.37,-1274963.3,1674.6809,0.97379404,0.00010046162,-119.0638512,-28.6252336,142.116904,CASE-1,640.8239573,7.917439367,18.82180738,16.88069514,31.67885341,565.525162,196.0,256840.0,920.0
49200,100,10,15,11,273.12922,-1285532.6,10582.202,-1274950.4,1684.5222,1.1070863,0.0001005313,-126.14888000000002,-39.673563200000004,145.5393888,CASE-1,554.5737899,29.5351523,10.47669895,12.84551278,15.65334844,478.0739664,193.0,257039.0,903.0
49800,100,10,15,11,273.37838,-1285514.6,10584.655,-1274929.9,1294.3581,1.1117376,8.4205218e-05,-131.67318880000002,-15.608810560000002,138.0532528,CASE-1,612.8732575,35.11010119,0.0,0.0,6.374204733,544.9370325,201.0,257149.0,764.0
50400,100,10,15,11,273.17595,-1285487.7,10571.606,-1274916.1,754.08384,1.0944975,6.655214e-05,-102.9941856,-8.3908608,127.5374592,CASE-1,555.3702368,9.126689863,8.473046928,0.0,3.203669696,509.7666347,193.0,257149.0,749.0
51000,100,10,15,11,273.61544,-1285447,10605.501,-1274841.5,384.0559,0.99634733,5.3024319e-05,-108.72230400000001,17.748056000000002,128.1830592,CASE-1,579.8999445,6.618515767,10.56358623,0.0,6.253058334,548.1024445,184.0,257145.0,891.0
51600,100,10,15,11,273.92468,-1285434.9,10607.473,-1274827.4,-120.08511,0.81361009,3.5469775e-05,-96.20036,-21.3999312,155.45643520000002,CASE-1,548.4219109,5.482645387,10.31227397,0.0,14.49844484,511.0040953,213.0,257175.0,829.0
52200,100,10,15,11,274.35176,-1285442.7,10626.549,-1274816.2,-472.47148,0.69757989,1.9187982e-05,-96.16910560000001,-9.18372608,125.084888,CASE-1,627.3133389,9.493564833,6.168684304,0.0,17.11603978,589.6497366,186.0,257334.0,764.0
52800,100,10,15,11,273.83821,-1285438.4,10609.105,-1274829.3,-556.59027,0.59171056,1.927482e-05,-109.020256,6.27781952,145.7817536,CASE-1,482.6529451,7.586248456,7.851293048,0.0,0.0,457.8078782,206.0,257356.0,656.0
53400,100,10,15,11,274.74977,-1285540.5,10631.018,-1274909.5,-114.26678,0.51052205,3.7861675e-05,-106.71147200000001,-12.96912064,137.0731872,CASE-1,497.101298,17.25897142,0.0,0.0,16.01419869,459.4240017,187.0,257198.0,678.0
54000,100,10,15,11,274.4978,-1285652.7,10638.49,-1275014.2,290.70191,0.45148868,5.4315288e-05,-85.99025440000001,7.15615488,118.404944,CASE-1,390.9293182,45.12171725,0.0,0.0,19.01846915,321.6808123,229.0,257185.0,713.0
54600,100,10,15,11,274.79717,-1285706.5,10630.365,-1275076.1,775.27363,0.34390344,7.1821948e-05,-82.7570512,2.9214512,114.0041168,CASE-1,406.2136674,13.18836059,0.0,0.0,33.68182772,348.1519668,255.0,257160.0,720.0
55200,100,10,15,11,274.72292,-1285756.3,10640.518,-1275115.7,1166.8788,0.27723464,8.1977503e-05,-94.13472000000002,-16.7640256,106.8632944,CASE-1,407.8265606,29.88518093,0.0,0.0,0.0,377.9413796,256.0,256962.0,719.0
55800,100,10,15,11,274.28482,-1285780.9,10626.586,-1275154.3,1189.1965,0.29642339,8.7176193e-05,-108.0362976,-21.774104,115.12344800000001,CASE-1,474.5520431,42.31284318,0.0,4.94616039,16.13722741,366.6491921,185.0,257087.0,786.0
56400,100,10,15,11,274.64164,-1285818.7,10623.549,-1275195.1,981.11369,0.27146563,7.6319865e-05,-108.576616,1.170443888,112.3796032,CASE-1,417.1995337,48.72640193,12.81538332,0.0,39.52278072,295.0110104,181.0,257070.0,712.0
57000,100,10,15,11,274.21996,-1285768.6,10614.27,-1275154.3,655.44812,0.13871647,6.8613948e-05,-87.0088144,-7.923262560000001,121.47657600000001,CASE-1,387.5659199,21.17948599,31.22552825,0.0,51.45356201,276.8604591,195.0,257190.0,687.0
57600,100,10,15,11,274.45151,-1285796.3,10619.283,-1275177,307.37235,0.13172247,5.2607422e-05,-91.4439648,-4.26853616,138.9271712,CASE-1,372.1523295,14.67102508,20.92939708,0.0,76.89900303,252.5066561,182.0,257102.0,768.0
58200,100,10,15,11,273.78484,-1285760.2,10618.508,-1275141.7,-116.99799,0.18616042,3.6169484e-05,-91.7797728,-12.53242576,116.75624,CASE-1,342.5768703,12.41747536,16.33173978,0.0,48.06173973,253.4756812,238.0,257067.0,709.0
58800,100,10,15,11,274.09096,-1285693.6,10608.633,-1275084.9,-421.14623,0.31736288,2.3850593e-05,-87.80616320000001,-11.09873664,134.315592,CASE-1,386.3656873,11.08467375,12.90262899,7.790949861,52.48266689,285.2111038,279.0,256918.0,772.0
59400,100,10,15,11,273.76992,-1285714.8,10603.937,-1275110.9,-290.68768,0.51840788,2.7523215e-05,-110.6712784,-22.131078400000003,140.6267936,CASE-1,379.0521566,25.26089409,14.49624003,0.0,33.10573439,272.8733842,232.0,256901.0,823.0
60000,100,10,15,11,274.10666,-1285754.1,10618.881,-1275135.3,98.971632,0.66531923,4.5274936e-05,-97.53584160000001,-16.222528,141.77812960000003,CASE-1,402.1196943,7.435995684,16.34403668,0.0,31.01563632,327.1705529,194.0,257166.0,864.0
60600,100,10,15,11,274.47532,-1285840.4,10615.081,-1275225.3,723.79006,0.79576026,6.5334764e-05,-104.58432640000001,-8.06809488,163.665408,CASE-1,471.9724331,21.48641171,0.0,4.266103885,42.89821342,383.6781878,180.0,257230.0,851.0
61200,100,10,15,11,274.3116,-1285832.5,10616.682,-1275215.8,1138.3622,0.83961115,8.0176383e-05,-98.5522528,-5.358409120000001,165.85056,CASE-1,492.5859097,21.17071518,0.0,0.0,56.15928517,402.3321514,219.0,257103.0,884.0
61800,100,10,15,11,273.72481,-1285823.9,10597.941,-1275226,1288.8048,0.85575728,8.4624156e-05,-94.12017120000002,-6.230110400000001,150.623704,CASE-1,512.6123961,10.16552396,6.642557977,0.0,67.84848255,424.8902723,200.0,257078.0,843.0
62400,100,10,15,11,273.70484,-1285829.8,10607.564,-1275222.2,1356.2235,0.98627755,9.0150927e-05,-100.27390400000002,4.315127360000001,144.3951072,CASE-1,560.9947084,23.55826698,20.30402495,0.0,26.65691692,479.5487453,196.0,257006.0,809.0
63000,100,10,15,11,273.6975,-1285860.1,10608.038,-1275252.1,1324.9017,1.0321248,8.738244e-05,-93.9453488,-14.69763856,121.751408,CASE-1,480.6530815,14.49824746,14.9947249,3.760737311,25.91717471,404.1996961,221.0,257030.0,846.0
63600,100,10,15,11,274.15942,-1285826.6,10587.296,-1275239.3,927.02968,0.898061,7.460857e-05,-104.6064032,-9.98853456,131.959616,CASE-1,397.5827213,12.87904389,27.88654276,0.0,24.38431212,312.7480067,213.0,257195.0,747.0
64200,100,10,15,11,274.05625,-1285816.2,10606.496,-1275209.7,500.78529,0.74196,5.8152737e-05,-102.62269280000001,0.976182592,148.535624,CASE-1,472.448293,11.3901946,21.13603639,0.0,46.96176413,354.9637043,208.0,257036.0,745.0
64800,100,10,15,11,273.68602,-1285770.8,10592.341,-1275178.4,90.67508,0.5941345,4.1393291e-05,-111.47269120000001,-6.624739680000001,152.02138720000002,CASE-1,453.3053126,17.63907134,8.347341773,7.914674824,44.75404349,351.2265881,224.0,256929.0,754.0
65400,100,10,15,11,273.7643,-1285746.7,10600.965,-1275145.7,-340.21311,0.54524978,2.8203545e-05,-99.5781584,-15.22669264,154.4432736,CASE-1,468.2724478,17.09628155,0.0,7.635039408,19.85735024,403.5875974,217.0,256787.0,726.0
66000,100,10,15,11,273.80092,-1285725.1,10597.153,-1275128,-422.56702,0.49149038,2.3754638e-05,-98.5812288,-23.022176,131.4256848,CASE-1,426.2409298,14.02477452,14.34458265,0.0,24.08049779,323.5802428,221.0,256874.0,666.0
