Timestep1and2,Slding speed,Depth polishing,Particle size,Composition,Temperature,PotEng,KinEng,Total energy,Press,Von Mises stress,v_hydro,Force_X,Force_Y,Force_Z,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
170400,100,20,15,21,276.67051,-1282883.0,10662.294,-1272220.7,-135.58639,0.72575748,4.6578649e-05,-176.49422400000003,6.81396608,91.73991840000001,CASE-10,1870.45725775725,47.7444012901141,41.7263385956047,5.66164038194509,150.28947608444,1531.44635631213,585.0,237788.0,4869.0
171000,100,20,15,21,276.93754,-1282878.8,10672.585,-1272206.2,-86.929763,0.63095853,4.8590103e-05,-133.5204064,-3.880356,87.5076432,CASE-10,1800.34507021463,40.5995580529959,24.1413536031609,7.17273166698622,130.631063825094,1439.73335236136,518.0,237860.0,5063.0
171600,100,20,15,21,276.91945,-1282886.2,10671.888,-1272214.3,-15.242885,0.59700835,5.0805799e-05,-157.3607088,9.161890080000001,90.16810880000001,CASE-10,1705.36373493834,61.977647536033,50.6744946561564,0.0,106.562200191185,1315.33650048272,590.0,237951.0,4964.0
172200,100,20,15,21,277.95986,-1282975.1,10711.983,-1272263.2,39.21801,0.65948884,5.6190676e-05,-155.0184608,0.537164336,94.64579040000001,CASE-10,1575.65667785267,42.9946896502291,28.411286295345,7.43872574780223,84.3339638252083,1291.48722277353,623.0,237885.0,5053.0
172800,100,20,15,21,277.38379,-1282985.3,10689.783,-1272295.6,-20.635476,0.62716051,5.2660772e-05,-149.553728,10.42740256,90.65913440000001,CASE-10,1588.45683853635,42.9780393544152,33.3328867243712,0.0,72.7617171624379,1338.42530457035,617.0,237888.0,4950.0
173400,100,20,15,21,277.26108,-1283032.0,10685.054,-1272347,7.461928,0.59063671,5.4601902e-05,-134.090768,12.08492064,94.9260368,CASE-10,1597.58153327089,69.754720804508,15.0427682448955,11.9238378258231,74.8089839490048,1333.53247539461,602.0,237830.0,4880.0
174000,100,20,15,21,277.32015,-1283035.4,10687.33,-1272348.1,68.097373,0.64019636,5.6304324e-05,-138.9428672,19.889156800000002,100.91709600000002,CASE-10,1628.80164696681,56.9088798108119,33.7016529462086,0.0,82.2607134359436,1383.90562626306,654.0,237702.0,5012.0
174600,100,20,15,21,277.31412,-1283027.4,10687.098,-1272340.3,35.452246,0.68752128,5.2109242e-05,-139.84952800000002,11.03959216,86.4260864,CASE-10,1630.45961128791,37.8041913268326,12.9885966754351,17.6227778004078,113.888233067328,1313.241737303,580.0,237758.0,5004.0
175200,100,20,15,21,277.19033,-1283059.0,10682.327,-1272376.7,30.489716,0.80446532,5.2984354e-05,-145.0642192,23.881289600000002,90.90453600000001,CASE-10,1652.09932056925,39.0383676043784,43.5164601731043,0.0,103.94682266664,1370.62717909492,668.0,237748.0,4789.0
175800,100,20,15,21,276.87057,-1283067.8,10670.004,-1272397.8,-48.863636,0.84580043,5.214203e-05,-159.8488112,15.127434560000001,70.322656,CASE-10,1554.23369246365,92.9535353400076,39.1503514986998,8.4977384156364,120.309591255125,1229.54606413091,662.0,237578.0,4795.0
176400,100,20,15,21,277.08619,-1283073.2,10678.314,-1272394.9,-139.36368,0.85116051,4.8464515e-05,-163.19848000000002,16.1175872,97.30200640000001,CASE-10,1635.55947956267,51.2622882387954,74.2734664194985,12.3550541807149,108.327361574613,1291.18243709702,592.0,237545.0,4973.0
177000,100,20,15,21,276.59007,-1283095.0,10659.194,-1272435.8,-118.35165,0.82383711,5.1183905e-,-141.598,-21.973900800000003,119.95739840000002,CASE-10,1529.55392888601,22.5395019450957,23.749864091962,0.0,104.717599122803,1285.79524912508,630.0,237210.0,5195.0
177600,100,20,15,21,276.69938,-1283100.0,10663.407,-1272436.6,65.32992,0.74791793,5.2808167e-05,-165.49568,-21.2040672,96.3386256,CASE-10,1739.77741078638,21.3517730541335,47.2795792105576,0.0,91.9586698091049,1482.91895007965,541.0,237016.0,5346.0
178200,100,20,15,21,276.76513,-1283126.8,10665.941,-1272460.9,-21.749419,0.78735649,5.2877212e-05,-169.36622400000002,1.77932128,98.160984,CASE-10,1661.07502460025,16.7486109191449,50.5958072609743,0.0,113.063799066556,1353.11737380823,541.0,237267.0,5065.0
178800,100,20,15,21,277.03119,-1283081.3,10676.194,-1272405.1,76.534221,0.85060548,5.4578168e-05,-194.76892800000002,4.62174112,112.29326880000002,CASE-10,1781.14117797795,15.4050819292067,40.0814890593122,0.0,116.851405889619,1499.81208028371,557.0,237023.0,5303.0
179400,100,20,15,21,276.69247,-1283105.3,10663.141,-1272442.2,2.3152292,0.87042576,5.2744905e-05,-165.90376000000003,0.34361620800000003,82.9263056,CASE-10,1657.76016169341,20.2180938523668,38.3266316492674,0.0,112.13700906006,1412.71213797466,636.0,236904.0,5289.0
180000,100,20,15,21,276.4149,-1283085.1,10652.444,-1272432.7,-39.95137,0.85657851,5.3213116e-05,-147.4140496,-6.11453568,110.95092640000001,CASE-10,1714.20609068399,21.5704664836339,43.512497164689,6.20086742388131,81.9086089453816,1447.93553072577,666.0,236959.0,5345.0
180600,100,20,15,21,277.02801,-1283103.3,10676.072,-1272427.2,-107.90636,0.83794986,4.8057772e-05,-175.846144,36.5288768,118.8329744,CASE-10,1710.49808324397,43.3891379991895,57.6362389358647,0.0,111.339165045321,1383.11947102943,634.0,236737.0,5409.0
181200,100,20,15,21,276.91676,-1283078.0,10671.785,-1272406.2,-82.998658,0.87299587,5.0471982e-05,-153.826976,-11.863176160000002,124.6189776,CASE-10,1810.12755486569,40.5627827218553,43.2394814306961,12.8043078569867,144.012382509318,1468.60782623326,696.0,236785.0,5253.0
181800,100,20,15,21,277.33651,-1283078.8,10687.961,-1272390.8,36.166909,0.93065187,5.5701664e-05,-128.8610176,-2.44139008,99.9461792,CASE-10,1773.35320707583,31.7063928492227,28.3569577714473,12.8793541807985,144.521022340566,1471.4100617979,619.0,236392.0,5481.0
182400,100,20,15,21,276.42609,-1283069.3,10652.875,-1272416.4,14.925608,0.9577962,5.4924429e-05,-164.614448,6.89808656,96.5311472,CASE-10,2043.91413646958,42.0418792800306,50.0136232413262,31.9167726920891,184.474023662051,1592.32930274871,636.0,236137.0,5806.0
183000,100,20,15,21,276.68448,-1283064.4,10662.833,-1272401.5,59.177336,0.8937625,5.6104937e-05,-150.3571984,8.16208496,113.6992192,CASE-10,1850.29681631311,43.1907285269958,37.8377673869182,22.5965772971091,136.073071821496,1548.4254153239,681.0,236166.0,5700.0
183600,100,20,15,21,277.03332,-1283023.9,10676.276,-1272347.7,49.144557,0.83696479,5.6736655e-05,-127.02792640000001,17.4555104,110.6916016,CASE-10,2071.16199580369,32.0288464841928,52.4042418724943,31.0222972683404,147.28181526886,1713.20235197821,683.0,236281.0,5589.0
184200,100,20,15,21,276.9679,-1283060.6,10673.755,-1272386.8,-89.190291,0.7794842,4.9718692e-05,-140.2937952,17.09512,108.09941280000001,CASE-10,2032.028902265,69.539503108034,48.282510701153,49.6879572496845,120.025503927257,1643.52251687655,671.0,236278.0,5501.0
184800,100,20,15,21,277.12609,-1283078.2,10679.851,-1272398.3,-188.00375,0.72853935,4.6671154e-05,-126.50232800000002,-0.6148430720000001,83.3890336,CASE-10,2021.34613390881,71.1317106175251,54.8162735247341,29.4870463309164,123.54868957922,1654.79532955645,703.0,236196.0,5492.0
185400,100,20,15,21,276.17968,-1283039.6,10643.379,-1272396.2,-223.02305,0.66862936,4.8169492e-05,-172.91648,-9.49159936,133.5107408,CASE-10,2095.78018953652,50.8837348194371,65.5658421167995,6.78859335803097,116.417609350029,1766.22301808418,659.0,235921.0,5586.0
186000,100,20,15,21,276.93436,-1283075.1,10672.463,-1272402.6,-159.97321,0.73193068,4.881685e-05,-191.15411200000003,-10.790506720000002,118.3311888,CASE-10,1996.24563789435,63.6948975184898,63.4907735572732,14.2382780908414,120.082269695214,1648.93897434645,698.0,235729.0,5642.0
186600,100,20,15,21,277.30303,-1283086.9,10686.671,-1272400.2,-149.11203,0.7766332,4.7677831e-05,-179.22171200000003,25.4906688,115.0834832,CASE-10,2123.43653414277,49.3746047104197,87.0589854686103,23.653403537884,116.651913490002,1806.49056707216,633.0,235635.0,5848.0
187200,100,20,15,21,277.43313,-1283069.6,10691.684,-1272377.9,-114.26412,0.72427982,5.1745351e-05,-166.93984,3.5981390400000004,85.31281440000001,CASE-10,1906.63820006349,63.8405259502592,76.2825607623719,25.1659150606209,122.558190315797,1520.71488726269,613.0,235612.0,5954.0
187800,100,20,15,21,277.4795,-1283119.4,10693.471,-1272425.9,-119.25768,0.72179925,4.9165438e-05,-136.0094144,20.145966400000002,110.4480896,CASE-10,1888.71987497977,65.4575809791333,71.8544897430944,24.7295557036609,92.1933187354433,1557.72035350801,653.0,235911.0,5813.0
188400,100,20,15,21,277.21498,-1283118.0,10683.277,-1272434.7,-66.414228,0.75210197,5.1751032e-05,-153.3557872,-12.773272480000001,97.6863088,CASE-10,1991.73680425492,61.302059712994,72.2250369108084,13.396603778064,137.742833091565,1617.8258015044,634.0,235684.0,5881.0
189000,100,20,15,21,277.42379,-1283135.9,10691.324,-1272444.6,12.543776,0.74349706,5.3099666e-05,-144.6513648,-14.636867040000002,107.822336,CASE-10,2051.51148606145,28.9754968152625,65.1709174013018,28.0913015532487,112.271299266103,1664.52789989839,631.0,235651.0,5990.0
189600,100,20,15,21,277.42757,-1283128.4,10691.47,-1272436.9,2.9894696,0.75390118,5.3309731e-05,-176.75732800000003,24.930272000000002,122.6457168,CASE-10,1974.65075579556,83.973109835005,36.2572458102189,20.2363588449471,77.2455060617538,1659.53087834944,671.0,235233.0,6276.0
190200,100,20,15,21,277.05439,-1283100.0,10677.088,-1272422.9,-50.307632,0.75962565,5.1405279e-05,-150.85976000000002,6.839914240000001,121.13761280000001,CASE-10,1993.9636542779,34.1270000592958,43.280812462458,14.1025880181908,107.36516439459,1725.99331538307,633.0,235153.0,6388.0
190800,100,20,15,21,277.19432,-1283145.9,10682.481,-1272463.4,-103.97349,0.65741535,4.9518426e-05,-143.92208000000002,-21.314971200000002,88.2251136,CASE-10,2029.94763063093,88.2256216731833,30.7838843050567,13.0176465211752,177.496286760813,1693.03280784163,596.0,235196.0,6393.0
191400,100,20,15,21,276.68894,-1283144.0,10663.005,-1272481,-87.070307,0.6090123,5.0581501e-05,-143.30419360000002,-11.421087360000001,89.023216,CASE-10,1959.60626882562,28.107743591759,21.814604753818,7.71125156541926,80.3137953676364,1564.61487267175,558.0,235381.0,6303.0
192000,100,20,15,21,277.22097,-1283141.3,10683.508,-1272457.8,-89.577187,0.63010073,4.8916095e-05,-136.9909312,-3.36335312,94.21514400000001,CASE-10,2001.92540776496,51.7783973194766,30.951597792385,0.0,112.171898679581,1686.73055449723,630.0,235575.0,6102.0
