,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,-0.01444349409537505,0.0014990405431817974,-0.604237059972999,-0.05316281232042658,0.04762364546943611,0.7237138827500486,0.4577566574104208,0.1808703542502385,0.7275724096414513,0.653819853597546,-0.6940788567315392,0.7524871636449308
Slding speed,0.015847916173240228,-0.0005800016710334429,0.07966678735485096,0.004682091380507611,0.049052149748967155,-0.1362132173273896,-0.11337421793529495,0.08538968390612897,-0.13449721537252685,-0.07325977266920541,0.0700363154285794,-0.10984680270862146
Depth polishing,0.022035990211177265,-0.018600917484023448,-0.20405657789916928,-0.11328064764162031,0.09998002915904025,0.2800848007311318,-0.05976873682821551,0.36816252591705,0.2855249395533638,0.42331204450662574,-0.37775419012838496,0.4213653841434835
Particle size,,,,,,,,,,,,
Composition,-0.014602647701529223,-0.010295819839073732,-0.023720865444567883,0.10367762297620074,-0.04786240743233272,0.044580831158180054,-0.1075059650098306,0.22212229265908867,0.050175594171745254,0.31926311121523504,-0.4065110862969914,0.07631064935425269
Temperature,-0.0006164986231991175,-0.0004339421295085483,-0.0168035815751104,0.010023147966637095,-0.00035650958391210603,0.02238096831726774,0.019928114747342567,0.045771998192188246,0.021806508901596123,0.01325471946868119,-0.018671244612912405,0.013592724356740851
