param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
300,6,0.5,0.8,-255087937759914.62,333710298575132.56,2415422.1875,1673695560291669.2,40898881.95298183,1,2.2328325112660727,0.017797589959958525
300,8,0.5,0.8,-257509278700885.28,337167191277867.25,2409877.5208333335,1675790385851050.8,40925900.26560772,2,3.1460888385772705,0.05987820128016664
300,4,0.5,0.8,-258182355440981.28,332880306070140.75,2435563.5416666665,1674272428086613.2,40906955.34155596,3,1.416002909342448,0.06439489145308926
300,4,0.5,0.5,-261668421850453.28,322812615664377.6,2460082.1666666665,1621922369153706.8,40217628.58644306,4,1.5568563143412273,0.009884298514350747
300,6,0.5,0.5,-265408801494357.28,317965619117490.25,2511600.1666666665,1632914622119936.0,40367257.13934054,5,2.608784278233846,0.021808594131896984
300,4,0.5,0.6,-265660147957759.97,331953379281642.56,2508526.9166666665,1657748123025408.0,40693331.683758914,6,1.2925012906392415,0.01341058917412745
300,8,0.5,0.5,-267453988863999.97,320222849254316.94,2506500.5416666665,1628134189301760.0,40304706.07760987,7,2.7462174892425537,0.03234733196417396
300,6,0.5,0.6,-268106931546794.62,330777945512817.3,2542350.375,1667996317646848.0,40826052.42188179,8,2.026838461558024,0.03063136127263056
300,8,0.5,0.5,-268927031225002.62,360871674793289.2,1543043.2291666667,1146499509518336.0,32636098.5933297,9,3.355769316355387,0.05582135675069937
300,6,0.5,0.5,-269520530833407.97,362006116724358.6,1557660.5416666667,1148230884655104.0,32681414.084450554,10,2.835351308186849,0.02687452705408404
300,4,0.5,0.5,-270981770422954.62,364798349398625.4,1553339.8958333333,1148539272254805.2,32671846.03271818,11,1.7565561930338542,0.11245366302834674
300,8,0.5,0.6,-273836374578517.28,337448743717838.94,2544213.8333333335,1671326796349440.0,40868003.287370585,12,2.8150552908579507,0.032188873292618936
300,6,0.5,0.6,-285694176002047.94,382780358740486.6,1644725.7291666667,1146802494854485.2,32729843.48257499,13,2.2250212033589682,0.033166603647133384
300,8,0.5,0.6,-286675454394367.94,383012534396774.44,1649144.2916666667,1147154816390485.2,32736566.699852943,14,3.548605044682821,0.06177376742165127
300,4,0.6,0.5,-298956455499093.3,402382624602572.1,1621871.4166666667,1141401081348096.0,32822566.802343708,15,1.625149170557658,0.013031827749014107
300,6,0.6,0.5,-300594154351274.6,404306684391836.0,1633374.1875,1135908522819584.0,32721324.06035926,16,2.843054930369059,0.030183067682408814
300,8,0.6,0.5,-301599537408682.6,406835575332915.25,1634768.4375,1137062403812010.8,32733071.75017647,17,3.4566951592763266,0.04652006857705805
300,4,0.5,0.6,-312132817474901.3,420273807802299.5,1637207.4791666667,1147352004602538.8,32736054.244335484,18,1.3197156588236492,0.007373064354684171
300,6,0.6,0.8,-324433736630271.94,438181032402544.06,2761841.625,1887368259480234.8,43352690.22446457,19,2.294444481531779,0.0670442205382579
300,8,0.6,0.8,-325493716243797.3,440113649243843.2,2767971.625,1909183561596928.0,43580851.014152214,20,3.2579099337259927,0.05384561105483244
300,4,0.6,0.8,-325536198251861.3,437528525152860.1,2735793.2916666665,1885504467369984.0,43332567.7221064,21,1.3942898909250896,0.018014817619145508
300,8,0.6,0.6,-329575529709567.94,449041303477020.25,1638596.2291666667,1140911768251050.8,32829340.24114737,22,3.6505014896392822,0.06746078277899699
300,4,0.6,0.6,-329637652245162.6,447471054791332.3,1655508.2291666667,1142092101320704.0,32835810.396499116,23,1.3342841466267903,0.0084309169144787
300,6,0.6,0.6,-330181512964778.6,447925378047345.7,1633575.0416666667,1140557992689664.0,32822938.84394305,24,2.244822343190511,0.023022555857949132
300,4,0.8,0.8,-336092004526762.6,461113299645358.7,3196348.4583333335,2186932430482090.8,46180453.690668575,25,1.4250386555989583,0.018937294958212326
300,4,0.8,0.5,-344359153172479.94,433504152524239.56,1539197.75,1083720923261610.6,31684206.24446468,26,1.5156056880950928,0.007944447531851266
300,8,0.8,0.5,-346229091336191.94,438970218500431.2,1661958.0416666667,1114493625739946.6,32482364.59251542,27,3.6636529763539634,0.09584533692003826
300,6,0.8,0.5,-346759989559295.94,437284525791274.7,1658492.0416666667,1114649385413290.6,32482413.773820635,28,2.8923122882843018,0.020927273245282926
300,6,0.8,0.8,-352267006552746.6,485693161600989.94,3164529.2083333335,2156521780325034.8,45899616.98246428,29,2.2997814814249673,0.03961499264296159
300,8,0.8,0.8,-364088911025493.3,502109362431318.2,3182635.0416666665,2168145661919232.0,46005718.8484385,30,3.43086846669515,0.0653470931511203
300,4,0.6,0.5,-365570014139733.3,465094132988098.1,2651769.9583333335,1734111344110250.8,41641826.53352552,31,1.560302972793579,0.010878250007504706
300,4,0.6,0.6,-368603555692543.94,480778694387047.06,2697149.75,1777682758325589.2,42148871.01462832,32,1.2870383262634277,0.007231560984433684
300,6,0.6,0.8,-369974401739434.6,508962771868285.6,2527344.375,1661852411669162.8,40763920.1046412,33,2.384535551071167,0.03831707821061493
300,6,0.6,0.6,-371227768127487.94,481840634155581.75,2715697.7916666665,1773236080257706.8,42097661.208859555,34,2.0438501834869385,0.020372761912487564
300,8,0.6,0.6,-377049559946581.25,488562669131967.06,2725788.3333333335,1766820159684608.0,42023165.7249035,35,3.082223653793335,0.23448501231415061
300,6,0.6,0.5,-384612162688341.25,489026249799114.5,2681957.7916666665,1736083718362453.2,41664723.827773005,36,2.6591265201568604,0.028264173182813067
300,8,0.6,0.5,-385866740531199.94,487696236662952.0,2700299.125,1739731577252522.8,41707595.008314855,37,2.8387111028035483,0.02858768696236367
600,4,0.5,0.8,-388833402508629.25,491562137576096.1,2960832.7916666665,1838043199700992.0,42815037.89215509,38,2.913701057434082,0.1405642438233139
300,4,0.6,0.8,-389038564791637.25,535713270501798.5,2489124.2916666665,1637527864388266.8,40458399.37535838,39,1.394814093907674,0.010483790371269322
300,8,0.6,0.8,-390420656466602.56,539059169231161.7,2608477.2916666665,1707489973589333.2,41318374.603496276,40,3.6967644691467285,0.19901084881860065
600,8,0.5,0.8,-405615734161407.94,525413698590217.06,2974814.0416666665,1867115162238976.0,43123297.48341244,41,6.118620872497559,0.13045856240560952
300,8,0.8,0.6,-406764133198506.56,542731271641572.5,1713310.7708333333,1127270482356906.8,32793325.75017083,42,3.7825534343719482,0.06632926019588985
600,6,0.5,0.8,-407867492401151.94,528044067458990.0,2981151.6666666665,1853219556119893.2,42975415.14260765,43,4.340728839238484,0.07132313172464226
300,6,0.8,0.6,-408290032178517.25,542243037876230.0,1707550.4166666667,1127965349904384.0,32805245.975723952,44,2.272246996561686,0.02032710698179005
300,4,0.8,0.6,-408623708635135.94,542608632015960.6,1581769.8958333333,1086808356028416.0,31796812.30442588,45,1.3266180356343586,0.007888712255910453
300,6,0.5,0.5,-411197329375231.94,532777476590637.1,2389018.4166666665,1550127695833770.8,39287883.20936217,46,2.5384647051493325,0.02280710309124914
