variable,mean,std,min,max
Timestep1and2,208237.4686926031,135464.0180973126,0.0,600000.0
Number of particle,42.200701285690435,18.133719688891112,0.0,55.0
Composition,15.453164134246117,9.921940766491042,0.0,32.0
Temperature,304360.00164829136,9602898.30207574,0.6421326,308129517.0
Strain rate input,846969443.9806311,419943195.1375401,100000000.0,5000000000.0
