,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.6616227127383559,0.2729284138804557,0.3370699813891111,-0.24007953999456128,0.4238176598787379,0.23807477318945036,0.40639333162475816,0.2762674197444503,0.3574701538725769,0.40663819404873985,0.330270270226699,-0.42630185194657977,0.4067236071830698
Number of particle,-0.27571561674995126,-0.06630679991518612,-0.13210689852544508,-0.8478334555500597,0.08878469091313543,0.13842937146813883,0.199966462183237,0.011129876455090943,-0.3329297588417512,0.1504471260205663,0.5358657943146351,-0.47042056480593447,0.031816144904122025
Composition,0.13798860748735634,0.07180466226236908,0.006671632161165333,-0.3892331886976402,0.45757059937196554,0.43105748660097465,0.4215291601481073,0.29457839013983145,0.05773633008839475,0.4951656848572758,0.7166308600002727,-0.607162316892524,0.30700185986456746
Temperature,0.11348643992892174,0.06424419219596877,0.0515195701491106,-0.5683002524334239,0.3915360994577922,0.3171504076350519,0.4177048217967054,0.23702081053735186,0.011271496964234044,0.42948496841321004,0.6424684843787316,-0.6118642459968774,0.33727158140109414
Strain rate input,0.5576068846661965,0.25038398743950985,0.2749422022021066,0.614060739881824,0.5399526985754981,0.39544851227382094,0.347596370256106,0.4594300256800212,0.5713350886502235,0.5031239862260891,0.25130399000821724,-0.21525679046294238,0.46826957436019606
