,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,7.00831528618188e-118,0.20973292148042103,1.6097304461814218e-10,1.207741942868809e-209,2.5110168769175637e-106,1.5694995661039368e-192,2.0846294942294433e-92,1.8556083117037472e-137,1.8031405717896313e-188,3.618008437611658e-139,8.075119855132001e-250,2.0342879526421579e-193
Number of particle,1.9351793856483411e-62,0.5232935463613256,0.11268807838247633,2.475672510906796e-197,1.585434877641229e-33,5.429880307173643e-60,7.679044133887212e-50,0.00012706334741383797,6.5593133223396864e-139,1.3595270169814415e-59,0.0,0.0,1.705372958199541e-05
Composition,5.859349812689642e-26,1.535585384304974e-11,0.0020599296953985207,2.384179033893797e-46,1.4055e-319,4.150382939488859e-279,4.085849885533112e-229,1.195146121128377e-125,0.0008639696116914593,0.0,0.0,0.0,2.1032990105581377e-110
Temperature,0.38611272989149437,0.18332478287594056,0.9424796304955616,0.7031932951441957,0.4111829777031739,0.614688261309333,0.28792606032992857,0.6082002652201882,0.7147183888746497,0.44929803104414495,0.7935379279379887,0.668382083981882,0.2029653839990787
Strain rate input,1.620894913606118e-213,2.760324641631009e-79,0.43510244973392925,3.9709201466603213e-42,6.1493191713325485e-227,6.611975827603915e-103,2.3084350908661363e-97,2.1010648841547858e-147,2.5314260373132695e-252,7.395048983585899e-208,1.8741733958878036e-64,5.120103761264491e-24,5.8489706957176595e-168
