,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,7.0083152861819865e-118,0.20973292148042044,1.6097304461814573e-10,1.2077419428691037e-209,2.511016876917844e-106,1.569499566103678e-192,2.0846294942300094e-92,1.855608311703487e-137,1.803140571789432e-188,3.618008437611584e-139,8.075119855132751e-250,2.0342879526419666e-193
Number of particle,1.9351793856475861e-62,0.5232935463613264,0.11268807838247667,2.4756725109062436e-197,1.585434877641142e-33,5.429880307176021e-60,7.6790441338873e-50,0.00012706334741383483,6.559313322339997e-139,1.3595270169810423e-59,0.0,0.0,1.7053729581995157e-05
Composition,5.859349812690472e-26,1.535585384304988e-11,0.0020599296953985385,2.384179033893876e-46,1.4055e-319,4.150382939490802e-279,4.085849885532288e-229,1.1951461211281326e-125,0.0008639696116914639,0.0,0.0,0.0,2.1032990105584403e-110
Temperature,0.3861127298914954,0.18332478287594298,0.9424796304955599,0.7031932951441956,0.41118297770317125,0.6146882613093332,0.2879260603299304,0.6082002652201891,0.7147183888746494,0.4492980310441435,0.7935379279379915,0.6683820839818818,0.20296538399907885
Strain rate input,1.6208949136062805e-213,2.760324641630732e-79,0.4351024497339306,3.970920146660663e-42,6.149319171330435e-227,6.611975827602857e-103,2.3084350908667745e-97,2.1010648841537478e-147,2.53142603731402e-252,7.395048983587514e-208,1.8741733958879102e-64,5.120103761264097e-24,5.848970695719432e-168
