,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.5814048443763098,0.2921348249345649,-0.016229113655788677,-0.08260228317265696,0.3843698510942435,0.2778017350527967,0.3693668163083922,0.25930376290155577,0.31467842033839666,0.3656872189138591,0.31655616415210774,-0.4167873179525473,0.3701645931096522
Number of particle,-0.21330283802384883,-0.008258925269080036,-0.020523017377990775,-0.37365743055372896,0.15519059785462105,0.20904837445153987,0.19031000489247163,0.049555266371374945,-0.316273302085475,0.20834672718928016,0.5718348437176811,-0.597213374060953,0.05560175233007633
Composition,0.13570826805801256,0.08710539271478052,-0.03985702492454541,-0.1833887645565499,0.46577883711722345,0.4383469290996955,0.4005334963968251,0.30132227313556903,0.043087628259163374,0.5015918083384188,0.6988933468232269,-0.5864479355657748,0.2829564405274314
Temperature,-0.011214276993626225,0.017216036288146247,0.0009336414706314663,-0.004930143343492414,-0.010633665136095254,-0.006513646045705898,-0.013750067455985313,-0.006633353570988797,-0.004729752584742908,-0.00978970757416974,0.0033865405347388773,0.005542901804563856,-0.016472953985105582
Strain rate input,0.38765754049093004,0.2403697324186648,-0.010098997096586028,0.17463301589474012,0.3987701012909223,0.2733895903747956,0.26605941601252253,0.32541529131441327,0.41869314446567657,0.3828397986707241,0.21673478953472125,-0.13022934396146618,0.3463163694752385
