,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,1.4934598428586468e-102,1.1431851106243354e-158,4.299229112273658e-79,3.8911418812921206e-259,9.030129752357424e-78,1.9034693297973187e-236,3.949324701484312e-105,1.3566234800679286e-179,9.331563895784835e-237,4.896904034995e-152,1.7554272485599074e-262,7.27614424972201e-237
Number of particle,1.0592890010395196e-104,2.89796349977214e-07,1.1301731842901106e-24,0.0,6.197501534397933e-12,5.9337037959542065e-27,6.057607086432424e-55,0.38969797846885834,1.306681955033874e-154,1.376632797938063e-31,0.0,0.0,0.013915536647217461
Composition,8.625563703582296e-27,2.754310674042006e-08,0.6061320705691169,2.1785427377656945e-215,4.4557639535040936e-307,5.7620869926466226e-269,4.440098561315949e-256,6.418166065516764e-120,7.980680986160611e-06,0.0,0.0,0.0,1.3526987970666548e-130
Temperature,1.381739367962298e-18,6.693527779238912e-07,6.771388380091645e-05,0.0,3.838763043790171e-218,1.0344807000279927e-139,5.055943943765769e-251,4.424975777339342e-77,0.38369357552279404,8.242895280057827e-267,0.0,0.0,7.226276690384334e-159
Strain rate input,0.0,4.3702240552979874e-86,4.206508183388447e-104,0.0,0.0,7.156360263423674e-223,2.856261139947594e-169,7.02989677159107e-310,0.0,0.0,1.000175172694187e-86,1.3944824973721067e-63,0.0
