Timestep1and2,Number of particle,Composition,Temperature,Strain rate input,Strain,Stress,Total energy,Von Mises stress,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
133200,55.0,31.0,301.41819,1000000000.0,0.2664,2.5819948,-1240525.8,2.39304,CASE11,8937.29099264196,236.403974023704,291.775901071355,71.0848729960803,783.215458186699,7397.40726122663,2294.0,216417.0,10837.0
133800,55.0,31.0,302.08561,1000000000.0,0.2676,2.534828,-1240634.3,2.3740227,CASE11,9558.42647187204,269.357627562339,346.29198721625,42.0243181055841,849.340569861115,7766.62494232756,2345.0,214867.0,12152.0
134400,55.0,31.0,301.84653,1000000000.0,0.2688,2.4738757,-1240670,2.329204,CASE11,9497.83627122988,285.010703155502,396.831040824125,100.327426539896,745.877676804291,7805.0358743824,2269.0,215087.0,12266.0
135000,55.0,31.0,301.78886,1000000000.0,0.27,2.4217052,-1240736.4,2.2707683,CASE11,8900.61537168517,178.93439726522,381.605622070953,58.6420421276067,830.470769107871,7190.32112310105,2344.0,214933.0,12352.0
135600,55.0,31.0,301.25988,1000000000.0,0.2712,2.3091516,-1240796.4,2.126749,CASE11,9207.48355563697,283.89150771112,390.72246659069,31.2033243756853,900.590318522625,7376.72934168614,2226.0,213944.0,13208.0
136200,55.0,31.0,301.60636,1000000000.0,0.2724,2.2402185,-1240944.5,2.0656315,CASE11,9237.56061777598,282.153428833739,390.672524874207,50.1948675487789,835.983390321992,7457.93143892798,2185.0,213360.0,13960.0
136800,55.0,31.0,302.04746,1000000000.0,0.2736,2.2596448,-1240932.8,2.0598956,CASE11,9376.73549787504,252.67668626535,424.59022697378,56.9527876031962,739.687691787962,7705.2432574889,2081.0,212517.0,14537.0
137400,55.0,31.0,301.51211,1000000000.0,0.2748,2.2427665,-1241053.9,2.0715439,CASE11,9226.12732195274,264.268068446309,400.217041332243,56.7398897672086,840.617431269311,7256.29617291716,2000.0,211924.0,15441.0
138000,55.0,31.0,301.48342,1000000000.0,0.276,2.2037491,-1241030,2.0429798,CASE11,9561.97721046771,144.139409153004,499.733991521979,109.449133681366,915.424970072644,7580.84440686489,1895.0,212287.0,15418.0
138600,55.0,31.0,301.99808,1000000000.0,0.2772,2.1638315,-1241130.3,2.0215724,CASE11,9132.89897369607,218.480435700711,385.171826349662,34.0550595090862,959.654782984204,7205.86817994428,1829.0,213291.0,15023.0
139200,55.0,31.0,302.0057,1000000000.0,0.2784,2.1690085,-1241170.9,1.9920172,CASE11,8864.24480310254,160.551665942782,414.884016576089,83.4631794436621,882.467337169492,7023.00187765505,1837.0,214492.0,14050.0
139800,55.0,31.0,301.95596,1000000000.0,0.2796,2.1710191,-1241139.9,1.9882062,CASE11,8678.60081705553,116.60298793374,313.389538630345,54.4985113956095,932.484093252221,6907.69259418779,1802.0,214855.0,13369.0
140400,55.0,31.0,301.9231,1000000000.0,0.2808,2.1762006,-1241220.7,1.9561542,CASE11,9013.20022300851,187.628924435972,394.206875398384,96.8369055224403,981.082895257014,6984.86035980601,1754.0,215846.0,12364.0
141000,55.0,31.0,301.29599,1000000000.0,0.282,2.2250481,-1241294.6,2.0060983,CASE11,8688.29749616087,255.998514866345,339.794006424131,64.6176195601911,993.275336701599,6780.38590697948,1773.0,216823.0,11705.0
141600,55.0,31.0,301.42029,1000000000.0,0.2832,2.2901324,-1241324.9,2.0489671,CASE11,8306.12102126791,191.972178206717,405.377519352583,40.8894996324958,895.241120365988,6431.60528327915,1742.0,217686.0,11358.0
142200,55.0,31.0,302.42095,1000000000.0,0.2844,2.3793502,-1241359.5,2.1221455,CASE11,8449.75764207542,141.145563168017,422.454799265637,103.428002065209,953.750502469059,6576.52135152539,1687.0,217500.0,11669.0
142800,55.0,31.0,302.24301,1000000000.0,0.2856,2.4497117,-1241389.2,2.155241,CASE11,8044.05784432938,152.945509916135,340.905530558241,102.965215472164,935.475004534659,6293.42523804733,1628.0,218173.0,11315.0
143400,55.0,31.0,301.07554,1000000000.0,0.2868,2.507193,-1241389.3,2.218674,CASE11,7983.3579483842,138.903097052385,387.383206615709,68.5292067922402,991.12400904895,6104.72029813867,1617.0,218164.0,11264.0
144000,55.0,31.0,301.70749,1000000000.0,0.288,2.5527203,-1241423.9,2.2748613,CASE11,8264.0026779036,176.413897929099,357.241112197514,65.0525675666021,936.815976767707,6367.10520620761,1675.0,218481.0,11359.0
144600,55.0,31.0,301.41368,1000000000.0,0.2892,2.6170819,-1241463.7,2.315426,CASE11,8620.72507983612,162.026137032702,331.113571425517,69.5799349352282,1115.73148184984,6664.46757565771,1653.0,218522.0,11059.0
145200,55.0,31.0,301.77562,1000000000.0,0.2904,2.6490613,-1241443.2,2.3454399,CASE11,8113.18279088663,147.363338276612,348.267556837544,98.1625933490082,1023.9837904494,6260.18783246914,1793.0,218786.0,10728.0
145800,55.0,31.0,301.25514,1000000000.0,0.2916,2.6892804,-1241476.7,2.3733556,CASE11,8793.46025769131,209.706102479507,359.173235812394,76.4176744822927,1130.28559923643,6662.73645676703,1749.0,218703.0,10731.0
146400,55.0,31.0,301.58389,1000000000.0,0.2928,2.7771445,-1241435.5,2.4775077,CASE11,8812.78524475822,173.428632197216,402.627562697734,47.0779453132833,1168.46429359634,6750.38577642237,1788.0,218748.0,10894.0
147000,55.0,31.0,302.06253,1000000000.0,0.294,2.8844393,-1241431.6,2.5576404,CASE11,8695.85911516411,123.000706986613,344.302199059512,26.7035328231167,1194.37352357134,6672.60474968913,1811.0,218822.0,10844.0
147600,55.0,31.0,301.16885,1000000000.0,0.2952,2.9373845,-1241364.4,2.6181015,CASE11,8538.41747975683,128.689467366381,245.474583480817,29.1138543956154,1154.27914669198,6608.09695893066,1887.0,218786.0,10436.0
148200,55.0,31.0,302.05351,1000000000.0,0.2964,3.0009171,-1241321.8,2.663031,CASE11,8394.60659155838,252.017293809768,351.34719260421,28.8429539570448,1138.23283063217,6329.09529299427,1838.0,219004.0,10161.0
148800,55.0,31.0,301.51316,1000000000.0,0.2976,3.0510134,-1241312,2.6701026,CASE11,9161.34537106974,270.191062006744,314.023550244086,53.3410039056826,1218.68353179857,6908.05854995622,1945.0,218503.0,10196.0
149400,55.0,31.0,301.26039,1000000000.0,0.2988,3.0690725,-1241314.6,2.7004273,CASE11,9083.54389895849,219.197575490889,340.170050272348,74.9521158434145,1258.69911845799,6799.61235945444,1940.0,218566.0,10415.0
150000,55.0,31.0,308129517,1000000000.0,0.3,3.0315647,-1241305.6,2.7038943,CASE11,9077.43107022585,181.298576839331,328.086869102389,35.5289941123145,1259.08688046127,7078.44720748522,1957.0,218934.0,9797.0
150600,55.0,31.0,301.18599,1000000000.0,0.3012,3.0439089,-1241291.5,2.7070278,CASE11,9396.12801701643,213.942459195444,357.69084156097,45.0297095536637,1232.20670798952,7348.79019066638,1943.0,219653.0,9137.0
151200,55.0,31.0,301.75648,1000000000.0,0.3024,3.1074373,-1241228.5,2.7665427,CASE11,9782.93256254507,155.623061112611,321.494429773899,47.4884275943248,1232.3722825003,7816.40322412819,2028.0,219871.0,8753.0
151800,55.0,31.0,301.82593,1000000000.0,0.3036,3.1384964,-1241165,2.8101241,CASE11,9095.03084530944,177.722002307801,360.271330762418,35.2970301515308,1130.51456031974,7116.78306771232,2114.0,219900.0,8714.0
152400,55.0,31.0,302.2348,1000000000.0,0.3048,3.1754457,-1241137.1,2.8558449,CASE11,9351.49572544427,196.41231118597,279.549492898782,33.407475244084,1336.27870335905,7316.42580438004,2045.0,219450.0,8947.0
153000,55.0,31.0,301.31864,1000000000.0,0.306,3.2061764,-1241096.2,2.9143051,CASE11,9367.23261694698,220.449237382601,264.379442543833,43.0437786614822,1292.94545617589,7337.44432152581,2015.0,219195.0,9191.0
153600,55.0,31.0,300.86651,1000000000.0,0.3072,3.250115,-1241124.3,2.9459849,CASE11,9745.80066237168,113.293331132214,375.867921423352,66.3080768410743,1399.09801397262,7499.92683357713,2133.0,218290.0,9383.0
154200,55.0,31.0,301.81971,1000000000.0,0.3084,3.2752102,-1241035.2,2.9774326,CASE11,10089.9275198251,191.954394675522,353.586015816562,29.1346041847862,1542.17009067965,7690.97260632281,2165.0,217813.0,10232.0
154800,55.0,31.0,300.95993,1000000000.0,0.3096,3.2981306,-1241041.6,2.9739979,CASE11,9640.54155431916,250.899307669301,315.635079520312,59.7990099488645,1515.90437457622,7285.68575667706,2236.0,216989.0,10638.0
155400,55.0,31.0,301.56027,1000000000.0,0.3108,3.3909383,-1241038,3.0464938,CASE11,9604.62402887191,109.006068993385,366.444207915305,40.1303506131621,1458.5397559356,7360.7752339101,2341.0,216559.0,10985.0
156000,55.0,31.0,301.62902,1000000000.0,0.312,3.409341,-1240967,3.0708426,CASE11,10083.2699739111,188.152823778386,417.119302199293,62.835177910548,1609.75578754533,7602.67801712107,2337.0,216590.0,10913.0
156600,55.0,31.0,301.80644,1000000000.0,0.3132,3.4097496,-1240942.5,3.0850208,CASE11,10129.4629009094,231.682899484056,317.924494264421,68.5994515728099,1626.78713008246,7550.93597118619,2458.0,216375.0,10956.0
157200,55.0,31.0,302.36465,1000000000.0,0.3144,3.4217838,-1240858,3.1028787,CASE11,9659.50858002548,154.609208996054,354.559584974994,62.6320045821998,1493.77599195517,7373.78500311615,2427.0,215816.0,11327.0
157800,55.0,31.0,301.17313,1000000000.0,0.3156,3.4335521,-1240901.1,3.1077549,CASE11,10148.6739870607,123.804277608903,278.221932735437,52.1277893468434,1502.44643431821,7988.60479517023,2360.0,215580.0,11629.0
158400,55.0,31.0,301.8158,1000000000.0,0.3168,3.4356092,-1240808.8,3.1095453,CASE11,9878.58091933763,178.89901773303,300.685746569548,66.4855977539898,1461.5960468552,7674.98817284058,2429.0,215029.0,11672.0
159000,55.0,31.0,301.73091,1000000000.0,0.318,3.4587283,-1240791.8,3.0838173,CASE11,9921.80903880853,227.899517796096,345.181973936073,68.0397849107833,1330.05707697803,7724.00493541367,2484.0,215128.0,11301.0
159600,55.0,31.0,301.80801,1000000000.0,0.3192,3.3515786,-1240826.8,3.0190645,CASE11,9936.89144190388,179.349315632789,337.558560388851,38.4663609583184,1166.48027929277,8015.87336955387,2614.0,214824.0,11397.0
160200,55.0,31.0,302.34034,1000000000.0,0.3204,3.2934753,-1240807.6,2.963032,CASE11,10185.7390968989,157.870108812352,389.883946022993,38.0795345970016,1228.30759964985,8110.92668190287,2661.0,213031.0,12729.0
160800,55.0,31.0,302.53133,1000000000.0,0.3216,3.1914444,-1240764.7,2.8795528,CASE11,9802.07582195708,223.291360127838,440.852625074285,32.0583036938311,1021.26720118368,7860.92850952943,2664.0,212271.0,13647.0
161400,55.0,31.0,302.10025,1000000000.0,0.3228,3.0841288,-1240908.4,2.8038161,CASE11,10512.4847621109,177.613932388557,376.194921332676,35.0773709181136,1063.23887078792,8574.2080394018,2675.0,211854.0,13855.0
162000,55.0,31.0,300.96803,1000000000.0,0.324,2.9825053,-1240975.7,2.7273159,CASE11,9897.61967887119,208.713980956354,420.694314497469,18.3224352183868,985.110760828951,7883.11104584084,2571.0,211592.0,14363.0
162600,55.0,31.0,302.04951,1000000000.0,0.3252,2.9493147,-1241047.4,2.6638155,CASE11,9833.23623740318,187.032785911931,416.025135109314,24.3810417124744,1020.07559520642,7750.11991150057,2479.0,209751.0,16417.0
163200,55.0,31.0,302.54346,1000000000.0,0.3264,2.8251793,-1241085.4,2.5769118,CASE11,9822.07552851215,180.172017150096,453.989549661281,39.5197244405713,858.388030498906,7982.43701802287,2489.0,207506.0,18536.0
163800,55.0,31.0,301.55041,1000000000.0,0.3276,2.7305207,-1241235.7,2.4846006,CASE11,10140.0436448235,129.120169467891,389.99180628422,76.2226744944587,805.770727402093,8354.41909575853,2521.0,205522.0,20368.0
164400,55.0,31.0,300.93516,1000000000.0,0.3288,2.6896403,-1241230.3,2.4924615,CASE11,10128.4962282016,158.12010059378,440.885709915316,62.2090931463045,917.509909692015,8174.7611417937,2401.0,204651.0,21164.0
165000,55.0,31.0,302.7688,1000000000.0,0.33,2.6658702,-1241288.1,2.4688716,CASE11,10108.3307258473,139.850531693816,452.684540791744,98.8558486344284,860.826496549274,8205.39909991296,2438.0,204491.0,21631.0
165600,55.0,31.0,301.80344,1000000000.0,0.3312,2.5654903,-1241316.2,2.3914601,CASE11,10029.5556890599,188.57951780995,444.481563431613,45.8266063489232,854.267375294759,8032.96973225,2145.0,204665.0,21793.0
166200,55.0,31.0,302.37188,1000000000.0,0.3324,2.5628478,-1241282.2,2.3585209,CASE11,10065.950272155,201.909260215233,431.3368438026,65.2858003962042,755.013579362779,8148.90256832247,2174.0,204420.0,21802.0
166800,55.0,31.0,301.95133,1000000000.0,0.3336,2.5425461,-1241332.6,2.3784289,CASE11,9777.83648420465,173.71039246686,408.285175878259,79.6871577362943,792.47090481006,7775.12267238475,2070.0,205006.0,21487.0
167400,55.0,31.0,302.55441,1000000000.0,0.3348,2.4897205,-1241472.8,2.3096892,CASE11,10797.8613709102,252.047460459873,422.370788604275,82.2189928329932,935.021286614438,8522.14598428514,2102.0,205594.0,20916.0
168000,55.0,31.0,301.6589,1000000000.0,0.336,2.4800987,-1241573,2.2910097,CASE11,10377.3763807949,244.960058698154,463.369858747105,48.952333731698,784.418986729387,8358.94242946103,2087.0,205854.0,20445.0
168600,55.0,31.0,301.5603,1000000000.0,0.3372,2.5391967,-1241620.2,2.3135282,CASE11,10505.5761946547,213.403099889664,394.158383372184,29.7560220924576,867.708491658204,8474.53415785711,2019.0,206678.0,20245.0
169200,55.0,31.0,302.33218,1000000000.0,0.3384,2.559998,-1241696.7,2.3149661,CASE11,10578.0828926707,241.885746792297,485.225670223882,91.4056644400455,895.484647484007,8385.70567335768,1948.0,207323.0,19748.0
169800,55.0,31.0,302.08626,1000000000.0,0.3396,2.5732902,-1241762.2,2.3882992,CASE11,10258.6334629165,200.050617180087,346.707274994885,126.775311547439,734.716519787453,8333.56014923948,1996.0,208297.0,19324.0
170400,55.0,31.0,301.74954,1000000000.0,0.3408,2.6491728,-1241797.4,2.4136607,CASE11,9913.16024474615,205.937384727404,440.986968726247,96.0417060744991,678.302614717255,8053.64506570892,1895.0,209006.0,18934.0
171000,55.0,31.0,301.95507,1000000000.0,0.342,2.7182884,-1241864.2,2.4662307,CASE11,9842.81988072961,162.287271066639,367.031394321424,122.531897105546,785.984295059532,7883.62255234124,1949.0,209555.0,18677.0
171600,55.0,31.0,302.43481,1000000000.0,0.3432,2.7444669,-1241849.3,2.5078076,CASE11,10188.404402215,233.476760441483,463.206199361143,120.534527189952,754.086512739769,8111.94674689282,1840.0,210101.0,18287.0
172200,55.0,31.0,301.86009,1000000000.0,0.3444,2.725298,-1241905.3,2.4950177,CASE11,9770.67504859535,228.919432012616,408.458855821893,104.687375697909,785.455046281223,7846.37008422567,1943.0,210727.0,17781.0
172800,55.0,31.0,301.59228,1000000000.0,0.3456,2.7499272,-1241973.2,2.5032613,CASE11,9859.3010701657,155.007366807379,383.555242322545,102.337456125223,1003.87707585994,7935.10646853225,1834.0,211433.0,17566.0
173400,55.0,31.0,301.25115,1000000000.0,0.3468,2.7531415,-1241961.9,2.513223,CASE11,9888.09644087991,146.399459556172,412.448800348416,60.4165446114772,840.912184266672,7883.09997663838,1916.0,211765.0,17545.0
