param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
300,6,0.5,0.6,-6441599390.558743,9108138255.336979,1489.5812276204426,227047168.0,14952.592222031992,1,3.2487030029296875,0.021116417244521322
300,4,0.5,0.6,-6550011954.726008,9261509675.345865,1462.9991556803386,217979450.66666666,14690.227442341447,2,2.000417153040568,0.062354866212284116
300,8,0.5,0.6,-6613775547.892437,9351582633.309252,1498.8361511230469,227698560.0,14970.706329530993,3,4.840438524881999,0.11023679803198261
300,6,0.5,0.5,-6663193611.392703,9421605373.508589,1404.701395670573,219965674.66666666,14748.334944312644,4,2.8390092849731445,0.12146628214620216
300,4,0.5,0.5,-6771040657.934152,9574254351.38807,1371.613016764323,212342645.33333334,14519.935632467954,5,1.8851868311564128,0.032696438999443335
300,8,0.5,0.5,-6780871184.142227,9588039252.706345,1393.663838704427,219873888.0,14745.738570321948,6,4.483664830525716,0.06984468676115149
300,4,0.5,0.8,-7007435941.975492,9908347435.40661,1437.9762166341145,209853194.66666666,14432.18057724851,7,1.9140861829121907,0.12455357562332477
300,8,0.5,0.8,-7038021556.645642,9951497553.012493,1402.7115173339844,210531866.66666666,14450.660881190628,8,5.316309054692586,0.08867877278270506
300,6,0.5,0.8,-7056642889.060082,9977879384.218794,1400.312744140625,210674842.66666666,14455.230140265268,9,3.403863271077474,0.0842478689446473
300,4,0.5,0.5,-7243115202.558845,10241264080.118866,1440.9282836914062,231481669.33333334,15062.315450153998,10,1.9326018492380779,0.06140578109833373
300,6,0.5,0.5,-7356235105.225811,10401115272.16797,1453.0843709309895,232694352.0,15091.907878580343,11,2.997739553451538,0.12668958084994814
300,8,0.5,0.5,-7542495112.975655,10664525529.029245,1448.4711812337239,232973637.33333334,15100.379473779036,12,4.864535808563232,0.13416771621096985
300,6,0.5,0.6,-8202493046.224506,11597489628.306385,1587.4568176269531,240710538.66666666,15311.569327876723,13,3.157984972000122,0.13056692828843972
300,4,0.5,0.6,-8238433691.975438,11648431149.388365,1452.8984476725261,222739941.33333334,14818.673660244094,14,2.088787873586019,0.037419172015406954
300,8,0.5,0.6,-8383576567.975765,11853584648.541191,1553.7120361328125,236996954.66666666,15213.05650599151,15,5.129005114237468,0.2368212693819137
300,8,0.6,0.5,-8723886382.227018,12334965879.784964,1751.2862447102864,300585274.6666667,16712.21272069516,16,5.031292041142781,0.027927773072134773
300,4,0.6,0.5,-9120900680.308374,12896596982.247622,1668.933085123698,286407338.6666667,16393.32070093139,17,1.9439815680185955,0.036602821477337864
300,6,0.6,0.5,-9162784425.475143,12955691769.988787,1739.8602396647136,298994944.0,16675.73291042545,18,3.134083350499471,0.11420411951823439
300,4,0.6,0.6,-9416221173.475218,13313365157.000967,1764.6808369954426,295522170.6666667,16601.072298539857,19,2.107358773549398,0.014325971507117098
300,6,0.5,0.8,-9448656448.30976,13359771905.690207,1621.5770161946614,242609301.33333334,15320.31589967609,20,3.4725379943847656,0.28549048232744395
300,4,0.5,0.8,-9507220234.974436,13442601140.957373,1560.0834045410156,232353776.0,15058.011006683535,21,2.05343230565389,0.031622171102880015
300,8,0.6,0.6,-9632320172.642836,13618782311.95435,1859.7979939778645,313929242.6666667,16994.903481031168,22,5.072755018870036,0.1463499555016342
300,4,0.6,0.5,-9692499061.059008,13705811627.682318,1450.9414469401042,224315850.66666666,14874.812964168928,23,1.926313320795695,0.03245054260135763
300,8,0.6,0.5,-9748863623.310244,13785347534.973946,1531.3370971679688,238680912.0,15270.454486253759,24,4.784450133641561,0.05569697619125069
300,6,0.6,0.5,-9764175379.226137,13807047489.151045,1522.9398701985676,237222229.33333334,15231.405653836826,25,3.1268363793691,0.1132425640599611
300,8,0.5,0.8,-10050567850.978682,14210975429.97179,1601.9578552246094,240331317.33333334,15259.371316945559,26,5.462319691975911,0.19927702426594618
300,6,0.6,0.6,-10057644088.559874,14221873914.408022,1608.8161926269531,245121088.0,15441.515443301714,27,3.0971318085988364,0.11657990650876844
300,4,0.6,0.6,-10077288303.558872,14249677177.398987,1527.1697387695312,229111354.66666666,15009.869589524484,28,1.97264297803243,0.10942253149114685
300,8,0.6,0.6,-10132839015.893724,14328210069.4282,1637.7534586588542,247349344.0,15498.971260912214,29,4.981110334396362,0.13791788413354297
300,6,0.6,0.6,-10162368585.308908,14368438832.88112,1849.1619974772136,309685194.6666667,16902.529457035056,30,3.376746733983358,0.16361512734235084
300,8,0.6,0.8,-10974084077.315859,15516428033.934307,2016.1952107747395,336859904.0,17383.801643889394,31,5.567221800486247,0.22457338260699095
300,6,0.6,0.8,-11146644689.645159,15760482482.773676,1984.4479370117188,331478250.6666667,17276.701527766298,32,3.4611125787099204,0.05230536523966309
300,4,0.6,0.8,-11268597328.141932,15933381716.276768,1963.4825134277344,328826981.3333333,17245.256578511628,33,2.064936319986979,0.11871469016868602
300,6,0.8,0.5,-11634412713.808731,16449502979.727388,2399.6790059407554,514812736.0,20451.910851075423,34,3.1805330912272134,0.2700481830938262
300,4,0.6,0.8,-11699688191.726227,16544222596.129347,1555.7427978515625,225850912.0,14892.695376662406,35,1.9971798261006672,0.06724167865340688
300,8,0.6,0.8,-11789454587.233007,16671061765.415865,1547.1082458496094,229637733.33333334,14994.933419593364,36,5.594785610834758,0.0349803368577111
