,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,7.336064245115809e-119,8.978225209568716e-164,1.226763938860843e-62,9.64385063038527e-211,7.373572312683639e-107,7.466264406980418e-193,5.223307566468224e-93,3.429886343891688e-138,1.6818097080993378e-189,5.273512280845293e-140,7.107289965297946e-251,3.098375246924338e-194
Number of particle,1.8194097104342753e-62,0.5329952796812568,5.446588250965369e-13,0.0,8.739583958850132e-34,4.1156050467762606e-60,3.037612697832688e-50,8.292222070033617e-05,1.1878301863391033e-138,6.34684131905202e-60,0.0,0.0,1.3327333699253678e-05
Composition,5.521796558238712e-26,1.3541979590080078e-11,0.24134933618725876,0.0,8.47e-321,2.1464755692758986e-279,1.4462886847095049e-230,1.178816554711683e-127,0.0006953700213488212,0.0,0.0,0.0,4.538420434521807e-111
Temperature,0.38303397275166623,0.18416187010326948,0.39201817821063095,0.4553838880844191,0.40841221336601924,0.613822279095807,0.2866725965326202,0.6048359855383112,0.7110909273448726,0.4464218019897874,0.7977852938542046,0.6651341574477929,0.20164663620837547
Strain rate input,1.8006284740900307e-214,1.2931889862905217e-79,7.256508933987216e-94,1.9499022052112917e-223,1.0108076450311486e-227,2.1543643276692087e-103,1.1946390530435214e-97,4.973729563420213e-148,1.2927339556455583e-253,1.423532592805555e-208,7.869446443281986e-65,3.023521416645408e-24,1.5373826799084908e-168
