,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.6626263131347201,0.27382648950839966,0.340006849940323,-0.24176682704728242,0.4240920528728942,0.2392768220636221,0.4058858321154488,0.27679689702004967,0.3576563448230427,0.4069116438081217,0.3306024697390351,-0.42661777140636026,0.4068197530158847
Number of particle,-0.275730135428075,-0.0662549091491244,-0.130279187803572,-0.8505097905998177,0.08937768807221477,0.1384874229347477,0.2009423354798308,0.012339579417557133,-0.3325419471639548,0.15093352240070632,0.5356989934096001,-0.47002731849474677,0.03234535242447979
Composition,0.13793852734533196,0.07193145878954516,0.009796369609011502,-0.39249198787028217,0.4580369894882215,0.43100568290985575,0.4223991151326602,0.2961113412103002,0.058131454539934756,0.49555228295900394,0.7168416023523029,-0.6070215914222411,0.3075385084343231
Temperature,0.11483855918359483,0.06511866562182352,0.055093558822954594,-0.5708982813814555,0.39310645780695114,0.31851945343273697,0.41855382862170537,0.23914494781491966,0.012987090446714688,0.4308763810645003,0.643148598818983,-0.6122908693491853,0.3385651671870405
Strain rate input,0.5576116578637559,0.25073177310343486,0.27665488305875563,0.6133081128970115,0.5400249739991646,0.39576432681303086,0.3475888813202556,0.4597821633255243,0.5715662732828541,0.503245171479117,0.2520601424317929,-0.21608883647442567,0.4684749516416937
