,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Intensity,1.0,0.51907049998434,0.30496606092161993,9.020807071547625e-08,0.15722494289831046,3.9172298040816855e-23,0.9617443252192938,0.1437976877539086,1.595683374200185e-15,2.3962844818717535e-115,2.287108410704874e-31
Composition,1.0,7.548018036976744e-246,8.165257401461471e-175,0.0,2.439682445335206e-37,4.170111000766459e-21,1.848039367431352e-05,9.735419494262154e-40,0.0,0.0,1.1569205087185976e-112
Temperature,0.004794288832499589,3.181731408326402e-51,3.858904318520688e-68,2.2909728313879573e-11,0.0651628872487305,1.3022723858205946e-95,1.7087146478627534e-05,0.10907821272137215,1.0751097877015564e-25,7.528820598755407e-102,1.8012935773356617e-07
