,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Intensity,0.0,0.030672561090842005,0.034135280203811784,-0.07965581918331066,-0.01162160153966357,-0.10724008285216442,0.0018428464818184846,-0.013358775619541286,0.08925034682475995,-0.20481619500505124,0.08842718822419489
Composition,1.3213322967211804e-07,-0.40541078647209455,-0.335597344946059,0.3731831205171366,0.1533096844134523,-0.07427351203099286,0.045406985870403364,0.15122721712000256,0.3572876095410392,-0.6480264746420185,0.15947099157779684
Temperature,0.06824427219836462,-0.24971587102920959,-0.25901102196685993,0.01764125129538573,0.12269842397874905,0.0008177971285910322,0.025313438451377113,0.12043123654726479,0.24616203407701354,-0.4196368601056611,0.16857193329923692
