,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,-0.597277025589752,0.5643017417620063,-0.5630094626659732,-0.11264368813590925,-0.010069735003786606,0.7317745830050514,0.6169748936768561,0.28278884017085576,0.7362517174983071,0.690452244860176,-0.7401415034858841,0.7654775135214095
Slding speed,0.38849361456707754,-0.06442113686548191,0.014047782983910717,0.01728916710721671,0.10907253988070069,-0.13313472552987335,-0.16409328223780772,0.06350816783786903,-0.13547265792753846,-0.06931430845124306,0.04931654717463578,-0.1153546054097227
Depth polishing,-0.042290032765362466,0.2691939385299131,-0.3608999639990694,-0.1339705920521098,0.13306548757942194,0.2394266734711914,0.01654242900441715,0.3598538124454478,0.23832624254453136,0.42627269703548226,-0.3583324896178061,0.3906733498949957
Particle size,,,,,,,,,,,,
Composition,0.6976901204373158,0.011233882724665092,-0.04233732843459485,0.09012012637784618,-0.0778212453990221,0.05593680192915064,-0.05246220204544957,0.29608463982572875,0.05786526231776185,0.32456395837721336,-0.42321116536257813,0.12588756433191686
Temperature,-0.09450229808175209,0.37676697237165147,-0.43104608211464135,-0.08958222712449913,0.07536768008143326,0.4467767827498363,0.32162956226759815,0.2344404170699665,0.453799596760814,0.4293817210502439,-0.49607864944141733,0.4745369007535318
