,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.6496756219171088,4.528659118178348e-241,0.0,0.0013891666141897696,0.004414489169835258,0.0,3.1015893058450613e-184,1.2064418442244767e-27,0.0,0.0,0.0,0.0
Slding speed,0.16541003494540332,0.0004859524013858967,1.8893259254580961e-06,0.7792585810644741,0.0033732156736793377,3.088626049228124e-16,1.0999588529128685e-11,3.28505888001124e-07,7.256860949586275e-16,1.1940330446228554e-05,2.844712256102932e-05,4.846670265735093e-11
Depth polishing,0.802300243313343,1.9193478966247584e-48,4.5380785533205484e-35,9.595266770654699e-12,2.302616859613358e-09,7.621631124416675e-66,0.0003722273150175067,1.1257764862619825e-115,2.0094822630852705e-68,5.731831039598703e-156,3.745052222235669e-122,1.9854869617490488e-154
Particle size,,,,,,,,,,,,
Composition,0.541218120500937,0.4518532683713065,0.15826836588364224,5.001703012628078e-10,0.004221474116799357,0.007745048894843598,1.252308207003316e-10,4.338753213999871e-41,0.002730613823516262,2.5891887585702266e-85,6.401843044199901e-142,5.187947771810243e-06
Temperature,0.9793666549328703,0.6254251695282879,0.3157593558609405,0.5491405501364977,0.9829714977721653,0.18144615063826222,0.23383527419700614,0.0062643926230942695,0.19292140117869291,0.4286752592257807,0.2650116567943129,0.417302907794177
