,Total energy,Von Mises stress,Force_X,Force_Y,Force_Z,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,-0.007604508717594326,0.5149788225973158,-0.6041066973379796,-0.05348537855586036,0.04763719310846322,0.723313465928661,0.45752237304063703,0.1809154517654261,0.7271967705937615,0.653325923234596,-0.6936258481791608,0.7519470628398115
Slding speed,0.02322033566306034,-0.058354164158611194,0.07964941555182344,0.004692626963387375,0.04905095567231123,-0.13614509572460012,-0.11336069911952203,0.08533600898389446,-0.13443285952564452,-0.07321118087070057,0.06999032467400493,-0.10975817698972197
Depth polishing,0.004191800413460038,0.24124784328302665,-0.20467063573429484,-0.11368683830699179,0.09978413487443816,0.28113811036323144,-0.05953388659417106,0.36915465591011976,0.2865124917568821,0.42424305013683045,-0.37875379031824574,0.4223188006762064
Particle size,,,,,,,,,,,,
Composition,-0.01022887685478595,0.012595300961505577,-0.02361889874734496,0.10384033574654913,-0.04787457901434814,0.04456266981036412,-0.107389891992379,0.22195132554521113,0.05013777167001077,0.31910663444583864,-0.40620021004052187,0.0761849440960411
Temperature,-0.00043300805989011427,0.00817310719375317,-0.01679497660182673,0.010029263977371373,-0.00035734470817803217,0.02237034531643542,0.019930485653123726,0.04574329002681116,0.021795784598540858,0.013250377227448986,-0.01865986587133347,0.013579299378359626
