,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,1.7660696001273335e-103,5.85348267735728e-162,2.124644460988719e-80,4.155640276422272e-260,9.651418026706177e-79,2.3583442794611792e-236,8.74180370373247e-106,3.2931594603532e-180,1.183334058241565e-237,1.0410082314138816e-152,1.6056100043316535e-263,1.547751520089685e-237
Number of particle,5.927360368296484e-105,2.8676237817612447e-07,4.359571217315079e-24,0.0,4.2309571953208125e-12,4.92626954814924e-27,1.3357235045398734e-55,0.33968888375431605,1.3686950942253928e-154,7.452979872060585e-32,0.0,0.0,0.01230429523825377
Composition,7.858007037840141e-27,2.5077147226676116e-08,0.4484584314095429,8.42351969910391e-220,1.703770706627743e-308,1.6088241670545736e-269,7.762657922805446e-258,1.7337879714251138e-121,6.744972931740196e-06,0.0,0.0,0.0,2.267492058468299e-131
Temperature,4.884772912477035e-19,4.5650517338116103e-07,1.9903990703311087e-05,0.0,1.5231654424911382e-220,2.7011321565984286e-141,1.0021248262217452e-252,1.179859572768825e-78,0.3149518828154799,2.4241736215187026e-269,0.0,0.0,1.6089358473351812e-160
Strain rate input,0.0,1.5878931804702636e-86,1.1284405222076068e-105,0.0,0.0,8.948280384472848e-224,1.1790495630180794e-169,0.0,0.0,0.0,1.8692070041892223e-87,3.225972797009346e-64,0.0
