,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Intensity,-1.3444106938820255e-17,0.005884599459020069,0.009362262991115991,-0.04875658478131743,0.0129087586683765,-0.09022455581822292,0.0004377560500659211,0.013340641188443823,0.07165884229989909,-0.20628118046830504,0.10602782022719555
Composition,-6.938893903907228e-18,-0.298620004079172,-0.25306410095676013,0.3944966181894544,0.11614409993925537,-0.08588894656715423,0.0390698327643419,0.11996479174927857,0.343642768343274,-0.6533634558076384,0.2037033761085572
Temperature,-0.025737727706284096,-0.13675886207569665,-0.1581965045427997,0.06096529575800225,0.01682956023402947,0.18766617166444977,-0.03922848433388748,0.014623255428517461,0.05899047172052445,-0.19292238698445574,0.04760258772154652
