param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time,total_finetune_time_sec
1000,8,0.6,0.6,0.05824978958970715,0.22799538342537906,41.381020863850914,6926.525390625,82.95442962646484,1,25.1330828666687,0.438705102122197,3619.163932800293
1000,8,0.8,0.6,0.04717669547043064,0.24229494156784767,41.29194005330404,6949.752115885417,83.12231953938802,2,26.82701349258423,0.9277073204970813,3863.089942932129
2000,8,0.6,0.6,0.04061918432587209,0.243596209793857,41.1226437886556,7013.171223958333,83.48465728759766,3,50.68337909380595,0.42895433559807505,7298.406589508057
1000,8,0.6,0.8,0.038720076575441166,0.2345953753066129,41.590110778808594,6980.264485677083,83.30572509765625,4,31.08713110287984,1.5594964003919456,4476.546878814697
1000,6,0.6,0.6,0.03871186578492828,0.23681126617238354,42.830849965413414,7120.876627604167,84.14436848958333,5,13.52469793955485,0.10037310134566121,1947.5565032958984
4000,8,0.6,0.6,0.03701962374849386,0.2460420502329219,41.0091552734375,7035.104654947917,83.61832173665364,6,104.23312314351399,1.0377967646101476,15009.569732666016
2000,8,0.8,0.6,0.03337696643406873,0.25485184752582424,41.03589884440104,7017.1376953125,83.52886199951172,7,52.18351888656616,0.7469642862612262,7514.426719665527
4000,8,0.8,0.6,0.03101295631958618,0.2563512851509866,40.93761698404948,7032.79443359375,83.62400817871094,8,103.64995733896892,0.7569344993263409,14925.593856811523
1000,6,0.8,0.6,0.027842657399835935,0.24754560163474681,42.51501973470052,7051.93603515625,83.73432159423828,9,13.903087377548218,0.6155696446938752,2002.0445823669434
2000,8,0.6,0.8,0.01962533030514436,0.2519076474019283,41.38566207885742,7077.422688802083,83.8915023803711,10,63.529459158579506,1.204395374327851,9148.24211883545
4000,8,0.6,0.8,0.015739233454887758,0.2545253835496186,41.285238901774086,7099.959798177083,84.02820587158203,11,128.088240702947,1.0807635770863315,18444.706661224365
1000,6,0.6,0.8,0.013310439206006738,0.24779797906613704,43.18362681070963,7195.467936197917,84.59882100423177,12,16.42197807629903,0.35033076598573953,2364.7648429870605
1000,8,0.6,0.6,0.009955342601583372,0.2738421078294055,42.6210568745931,7215.827799479167,84.67688496907552,13,16.12029457092285,0.3588073250185094,2321.3224182128906
1000,8,0.8,0.8,0.008805006918727718,0.2720044558626939,41.64631271362305,7096.04296875,83.98335774739583,14,33.1726508140564,0.6889922271392427,4776.861717224121
1000,6,0.8,0.8,0.004055523362167847,0.26214915933098093,42.863043467203774,7163.598470052083,84.40379587809245,15,16.755200544993084,0.14635755452666707,2412.748878479004
1000,6,0.6,0.6,0.0026204068872474804,0.27236764880151343,43.728797912597656,7339.395670572917,85.40246073404948,16,10.33437959353129,0.10314580771736555,1488.1506614685059
2000,6,0.6,0.6,-0.001221115511410381,0.27175017398092,42.73515319824219,7307.148763020833,85.25293986002605,17,27.354247172673542,0.4226763987636682,3939.0115928649902
1000,8,0.8,0.6,-0.004040094764616327,0.28948828061370774,42.60580571492513,7257.709147135417,84.9354019165039,18,17.385050455729168,0.5445062291945969,2503.447265625
1000,6,0.8,0.6,-0.005482949195103402,0.2823454976852914,43.41827646891276,7282.487955729167,85.07667032877605,19,11.164279143015543,0.7041416689495746,1607.6561965942383
2000,8,0.8,0.8,-0.007209777555965607,0.28608010707311926,41.44758097330729,7173.6484375,84.44701131184895,20,63.78407080968221,0.7511808401003732,9184.906196594238
2000,6,0.8,0.6,-0.008607881119615107,0.2806472373870593,42.42627843221029,7228.3525390625,84.77703094482422,21,27.3438454469045,0.6891117430041458,3937.513744354248
4000,8,0.8,0.8,-0.010015480562855386,0.2877964327441908,41.36557133992513,7190.355143229167,84.54717508951823,22,126.82459147771199,1.9706137195460434,18262.741172790527
1000,6,0.6,0.8,-0.019432379818816726,0.28625108115542947,43.7657839457194,7335.808756510417,85.37608083089192,23,12.4100661277771,0.2707609219702429,1787.0495223999023
4000,6,0.6,0.6,-0.019971381831888402,0.28542097433617636,42.55725987752279,7404.587565104167,85.82468159993489,24,55.3311382929484,1.0893027063594063,7967.68391418457
1000,8,0.6,0.8,-0.02331799502971892,0.2995388333093206,43.02358373006185,7314.026041666667,85.25282541910808,25,19.303263902664185,0.48849487436834804,2779.6700019836426
4000,6,0.8,0.6,-0.02479233362199067,0.29154686825928566,42.287862141927086,7321.208658854167,85.32448832194011,26,54.22744584083557,0.6108189419412319,7808.752201080322
1000,6,0.8,0.8,-0.025554109220802295,0.2940977001352787,43.570560455322266,7352.318684895833,85.49600219726562,27,13.116345961888632,0.2923689380095026,1888.753818511963
2000,6,0.6,0.8,-0.030227970829514422,0.28643598760044614,43.183050791422524,7409.431803385417,85.86108652750652,28,32.8017201423645,0.27515611022474057,4723.447700500488
1000,8,0.8,0.8,-0.03307907261967736,0.3115968619563773,42.80412165323893,7356.0673828125,85.5123774210612,29,20.699525276819866,0.49713297394650063,2980.7316398620605
2000,6,0.8,0.8,-0.03336424723326049,0.29736526005328545,42.784498850504555,7340.037760416667,85.4365463256836,30,33.63790225982666,0.6354343623497255,4843.857925415039
