Timestep1and2,Number of particle,Strain rate,Intensity,Composition,Temperature,Strain,Stress,v_p1,v_p2,v_p3,v_p4,Total energy,Press,Von Mises stress,v_hydro,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
93000,55,1000000000,4350000000,21,300.86272,0.0186,0.68350682,0.0186,0.68350682,-0.021959258,0.36040845,-1295402.6,-3406.52,1.3961937,-2.2855573e-05,CS6,1885.95974060945,18.6782647073975,5.342350684715,0.0,211.386867836376,1632.22803612742,1121.0,167225.0,2279.0
93600,55,1000000000,4350000000,21,300.41938,0.01872,0.71413576,0.01872,0.71413576,0.0049367438,0.38118909,-1295657.4,-3667.5386,1.3991324,-2.9314588e-05,CS6,1699.57844620601,14.4721318013755,18.4469803800808,0.0,186.233818546045,1471.56523230547,1204.0,167174.0,2237.0
94200,55,1000000000,4350000000,21,300.78764,0.01884,0.7246416,0.01884,0.7246416,0.0088950054,0.38301383,-1295654.7,-3721.8348,1.4102701,-3.0396347e-05,CS6,1846.34624132919,29.0811077345245,12.4675643638585,0.0,211.951217118861,1554.45266117332,1198.0,166919.0,2234.0
94800,55,1000000000,4350000000,21,300.86903,0.01896,0.72195362,0.01896,0.72195362,0.0067309327,0.37905987,-1295727.2,-3692.4814,1.4029519,-2.9165237e-05,CS6,1937.90098166234,28.9423573110166,18.4988338264993,0.0,200.789581300326,1672.04125042477,1187.0,167075.0,2219.0
95400,55,1000000000,4350000000,21,300.9216,0.01908,0.73343823,0.01908,0.73343823,-0.0023162695,0.37942031,-1295762.4,-3701.8076,1.4476489,-2.9822985e-05,CS6,1868.9422135231,18.4894034795745,9.01703732115189,0.0,167.016226755879,1650.0080547179,1125.0,167024.0,2320.0
96000,55,1000000000,4350000000,21,300.67757,0.0192,0.72765947,0.0192,0.72765947,-0.011409581,0.381687,-1295588.3,-3659.7896,1.4511865,-2.839762e-05,CS6,1981.20282553905,29.2799128013932,5.27046334443694,0.0,166.7597430495,1764.02781113507,1144.0,166935.0,2334.0
96600,55,1000000000,4350000000,21,300.4515,0.01932,0.74200751,0.01932,0.74200751,0.0020428674,0.3884879,-1295856.7,-3775.1276,1.4483441,-3.0967235e-05,CS6,2095.59075528966,19.8008599606263,20.121749119546,0.0,166.290784449914,1873.96193768867,1164.0,167077.0,2317.0
97200,55,1000000000,4350000000,21,300.84177,0.01944,0.7506887,0.01944,0.7506887,0.0084945101,0.39774381,-1295784.5,-3856.4234,1.4521133,-3.2681029e-05,CS6,2018.24272691618,15.127780153422,8.34425491703611,0.0,158.469047350462,1822.4037785371,1136.0,166878.0,2316.0
97800,55,1000000000,4350000000,21,300.56694,0.01956,0.76426439,0.01956,0.76426439,0.014870683,0.40404449,-1295891.4,-3943.9319,1.4644261,-3.5264151e-05,CS6,1923.99511025532,37.567782807172,26.5536378193054,0.0,163.77194056233,1684.92631826272,1178.0,167045.0,2338.0
98400,55,1000000000,4350000000,21,300.07126,0.01968,0.75969695,0.01968,0.75969695,0.0046798524,0.38855534,-1295791.5,-3843.1071,1.4734543,-3.2442795e-05,CS6,1995.15238235327,23.784955351783,18.0191979555299,0.0,156.59366525606,1767.59755551618,1145.0,167045.0,2268.0
