,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.0,7.336064245117805e-119,8.978225209566478e-164,7.704726473289441e-63,9.64385063038741e-211,7.373572312686575e-107,7.466264406980188e-193,5.223307566468015e-93,3.4298863438922844e-138,1.681809708099753e-189,5.273512280845553e-140,7.10728996529542e-251,3.0983752469254166e-194
Number of particle,1.8194097104344077e-62,0.532995279681252,5.446588250965201e-13,0.0,8.739583958849706e-34,4.1156050467761235e-60,3.0376126978329206e-50,8.292222070033496e-05,1.1878301863388569e-138,6.346841319051604e-60,0.0,0.0,1.3327333699253617e-05
Composition,5.521796558239586e-26,1.354197959008019e-11,0.24134933618725685,0.0,8.47e-321,2.1464755692764416e-279,1.446288684709608e-230,1.1788165547118843e-127,0.0006953700213488309,0.0,0.0,0.0,4.538420434520836e-111
Temperature,0.38303397275166795,0.18416187010326746,0.3920181782106302,0.4557717755443585,0.40841221336601935,0.6138222790958071,0.28667259653262084,0.6048359855383078,0.7110909273448707,0.44642180198978954,0.7977852938542027,0.6651341574477941,0.2016466362083764
Strain rate input,1.8006284740899384e-214,1.2931889862903384e-79,7.256508933990797e-94,7.66459110569403e-224,1.0108076450310235e-227,2.1543643276698507e-103,1.1946390530437771e-97,4.973729563422734e-148,1.2927339556458377e-253,1.4235325928061466e-208,7.869446443284656e-65,3.02352141664541e-24,1.5373826799079535e-168
