,Strain,Stress,Von Mises stress,Total energy,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
Timestep1and2,0.5826620134677258,0.2929849277516369,0.3418134063938259,-0.2137446475182947,0.3848901040059301,0.2781680382229551,0.3692556176633992,0.2598400219690315,0.31513507732241325,0.3662266793852489,0.31711755768511274,-0.41714887475526946,0.3704947015055797
Number of particle,-0.2131050324961423,-0.008057517690917261,-0.09303071279628833,-0.9379251574278074,0.15563210936593594,0.2090203369263317,0.1908717172453216,0.05083524669173449,-0.31564004068636187,0.20869022616749833,0.5717746692847193,-0.5970128609078194,0.05623723588261667
Composition,0.13562208838315737,0.08723812332635157,0.015141736379621767,-0.5183453646607032,0.4660863038282712,0.43808983134052454,0.4012727205696831,0.3033026632238124,0.04381105569001262,0.5017894958066093,0.6991638246818772,-0.5864436966385499,0.28346981255008397
Temperature,-0.01127393182844879,0.01716309740575294,0.011062550640582024,-0.009639214953995535,-0.010684257104787284,-0.006521952190901463,-0.01376974065965186,-0.006687816531330265,-0.0047870927125387205,-0.009840392275032115,0.0033114320027822666,0.005594137694370395,-0.016501828719310628
Strain rate input,0.38804365767825416,0.24059193603127632,0.26101739997496975,0.39581938899339725,0.39897842297729313,0.2737145554609159,0.26614300740039365,0.3257158283945581,0.41922661367687775,0.38303951635142497,0.21712223026137462,-0.13073525653806164,0.3465031347794672
