,Timestep1and2,Number of particle,Intensity,Composition,Temperature,Strain rate,Strain,Stress
Timestep1and2,1.0,,0.0,0.0,0.06824433220046003,,0.9999999998891108,0.5773529522847161
Number of particle,,,,,,,,
Intensity,0.0,,1.0,0.0,0.05880926105743324,,0.0,0.030672561090842005
Composition,0.0,,0.0,0.9999999999999999,0.45877723642427537,,1.3213322967211804e-07,-0.40541078647209455
Temperature,0.06824433220046003,,0.05880926105743324,0.45877723642427537,1.0,,0.06824427219836462,-0.24971587102920959
Strain rate,,,,,,,,
Strain,0.9999999998891108,,0.0,1.3213322967211804e-07,0.06824427219836461,,1.0,0.5773529526261326
Stress,0.5773529522847161,,0.030672561090842005,-0.40541078647209455,-0.24971587102920959,,0.5773529526261326,0.9999999999999999
