,Timestep1and2,Number of particle,Intensity,Composition,Temperature,Strain rate,Strain,Stress
Timestep1and2,0.0,,1.0000000000000004,1.0000000000000004,0.004794288832499436,,0.0,0.0
Number of particle,,,,,,,,
Intensity,1.0000000000000004,,0.0,0.12017769424489969,0.0004957130588057797,,1.0000000000000004,0.5190704999843372
Composition,1.0000000000000004,,0.12017769424489969,0.0,9.171837242823588e-162,,1.0000000000000004,7.548018036974234e-246
Temperature,0.004794288832499436,,0.0004957130588057797,9.171837242823588e-162,0.0,,0.004794288832499436,3.181731408326444e-51
Strain rate,,,,,,,,
Strain,0.0,,1.0000000000000004,1.0000000000000004,0.004794288832499436,,0.0,0.0
Stress,0.0,,0.5190704999843372,7.548018036974234e-246,3.181731408326444e-51,,0.0,0.0
