,Timestep1and2,Number of particle,Intensity,Composition,Temperature,Strain rate,Strain,Stress
Timestep1and2,1.0,,-1.0408340855860843e-17,-3.469446951953614e-18,-0.02573772770628409,,1.0,0.6606918155998076
Number of particle,,,,,,,,
Intensity,-1.0733601507606494e-17,,0.9999999999999998,-0.01418230837046297,0.03178054972334922,,-1.3444106938820255e-17,0.005884599459020069
Composition,3.469446951953614e-18,,-0.01418230837046297,1.0,0.24361939514068104,,-6.938893903907228e-18,-0.298620004079172
Temperature,-0.02573772770628408,,0.03178054972334922,0.243619395140681,1.0,,-0.025737727706284096,-0.13675886207569665
Strain rate,,,,,,,,
Strain,1.0,,3.7947076036992655e-18,-1.734723475976807e-17,-0.025737727706284096,,1.0,0.6606918155998075
Stress,0.6606918155998076,,0.005884599459020083,-0.298620004079172,-0.13675886207569665,,0.6606918155998075,0.9999999999999998
